layer_name,scenario_year,data_year
ao_stock_slope,2010,2009
ao_stock_slope,2011,2010
ao_stock_slope,2012,2011
ao_stock_slope,2013,2012
ao_stock_slope,2014,2013
ao_stock_slope,2015,2014
ao_stock_slope,2016,2015
ao_stock_slope,2017,2016
ao_stock_slope,2018,2017
ao_stock_slope,2019,2018
ao_stock_slope,2020,2019
ao_stock_status,2010,2019
ao_stock_status,2010,2019
ao_stock_status,2011,2019
ao_stock_status,2012,2019
ao_stock_status,2013,2019
ao_stock_status,2014,2019
ao_stock_status,2015,2019
ao_stock_status,2016,2019
ao_stock_status,2017,2019
ao_stock_status,2018,2019
ao_stock_status,2019,2019
ao_stock_status,2020,2019
bd_hab_benthic,2010,2018
bd_hab_benthic,2011,2018
bd_hab_benthic,2012,2018
bd_hab_benthic,2013,2018
bd_hab_benthic,2014,2018
bd_hab_benthic,2015,2018
bd_hab_benthic,2016,2018
bd_hab_benthic,2017,2018
bd_hab_benthic,2018,2018
bd_hab_benthic,2019,2018
bd_hab_benthic,2020,2018
bd_hab_pelagic,2010,2018
bd_hab_pelagic,2011,2018
bd_hab_pelagic,2012,2018
bd_hab_pelagic,2013,2018
bd_hab_pelagic,2014,2018
bd_hab_pelagic,2015,2018
bd_hab_pelagic,2016,2018
bd_hab_pelagic,2017,2018
bd_hab_pelagic,2018,2018
bd_hab_pelagic,2019,2018
bd_hab_pelagic,2020,2018
bd_spp_birds,2010,2018
bd_spp_birds,2011,2018
bd_spp_birds,2012,2018
bd_spp_birds,2013,2018
bd_spp_birds,2014,2018
bd_spp_birds,2015,2018
bd_spp_birds,2016,2018
bd_spp_birds,2017,2018
bd_spp_birds,2018,2018
bd_spp_birds,2019,2018
bd_spp_birds,2020,2018
bd_spp_fish,2010,2018
bd_spp_fish,2011,2018
bd_spp_fish,2012,2018
bd_spp_fish,2013,2018
bd_spp_fish,2014,2018
bd_spp_fish,2015,2018
bd_spp_fish,2016,2018
bd_spp_fish,2017,2018
bd_spp_fish,2018,2018
bd_spp_fish,2019,2018
bd_spp_fish,2020,2018
bd_spp_seals,2010,2018
bd_spp_seals,2011,2018
bd_spp_seals,2012,2018
bd_spp_seals,2013,2018
bd_spp_seals,2014,2018
bd_spp_seals,2015,2018
bd_spp_seals,2016,2018
bd_spp_seals,2017,2018
bd_spp_seals,2018,2018
bd_spp_seals,2019,2018
bd_spp_seals,2020,2018
bd_spp_trend,2010,2019
bd_spp_trend,2011,2019
bd_spp_trend,2012,2019
bd_spp_trend,2013,2019
bd_spp_trend,2014,2019
bd_spp_trend,2015,2019
bd_spp_trend,2016,2019
bd_spp_trend,2017,2019
bd_spp_trend,2018,2019
bd_spp_trend,2019,2019
bd_spp_trend,2020,2019
cc_sal_surf,2010,2009
cc_sal_surf,2011,2010
cc_sal_surf,2012,2011
cc_sal_surf,2013,2012
cc_sal_surf,2014,2013
cc_sal_surf,2015,2014
cc_sal_surf,2016,2015
cc_sal_surf,2017,2016
cc_sal_surf,2018,2017
cc_sal_surf,2019,2018
cc_sal_surf,2020,2019
cc_sst,2010,2009
cc_sst,2011,2010
cc_sst,2012,2011
cc_sst,2013,2012
cc_sst,2014,2013
cc_sst,2015,2014
cc_sst,2016,2015
cc_sst,2017,2016
cc_sst,2018,2017
cc_sst,2019,2018
cc_sst,2020,2019
cs_status,2010,2021
cs_status,2011,2021
cs_status,2012,2021
cs_status,2013,2021
cs_status,2014,2021
cs_status,2015,2021
cs_status,2016,2021
cs_status,2017,2021
cs_status,2018,2021
cs_status,2019,2021
cs_status,2020,2021
cw_con_dioxin,2010,2009
cw_con_dioxin,2011,2010
cw_con_dioxin,2012,2011
cw_con_dioxin,2013,2012
cw_con_dioxin,2014,2013
cw_con_dioxin,2015,2014
cw_con_dioxin,2016,2015
cw_con_dioxin,2017,2016
cw_con_dioxin,2018,2017
cw_con_dioxin,2019,2018
cw_con_dioxin,2020,2019
cw_con_pcb,2010,2009
cw_con_pcb,2011,2010
cw_con_pcb,2012,2011
cw_con_pcb,2013,2012
cw_con_pcb,2014,2013
cw_con_pcb,2015,2014
