region_id,indicator_status
BHI-001,100
BHI-002,100
BHI-003,50
BHI-005,50
BHI-006,50
BHI-007,50
BHI-008,50
BHI-009,50
BHI-010,50
BHI-011,50
BHI-012,50
BHI-013,50
BHI-014,10
BHI-015,10
BHI-016,10
BHI-017,10
BHI-018,76.39999999999999
BHI-019,76.4
BHI-020,76.4
BHI-021,76.4
BHI-022,76.4
BHI-023,76.4
BHI-024,76.4
BHI-025,76.39999999999999
BHI-026,10
BHI-027,50
BHI-028,50
BHI-029,50
BHI-030,50
BHI-031,50
BHI-032,50
BHI-033,50
BHI-034,50
BHI-035,50
BHI-036,50
BHI-037,50
BHI-038,50
BHI-039,50
BHI-040,50
BHI-041,50
BHI-042,50
BHI-043,50
