bhi_id,dimension,score,year
1,trend,NA,2009
1,trend,NA,2010
1,trend,NA,2011
1,trend,NA,2012
1,trend,NA,2014
1,trend,NA,2015
1,trend,NA,2013
2,trend,-0.04,2018
2,trend,-0.04,2017
2,trend,-0.04,2016
2,trend,-0.04,2015
2,trend,-0.04,2014
2,trend,-0.04,2013
2,trend,-0.04,2012
2,trend,-0.04,2011
2,trend,-0.04,2010
2,trend,-0.04,2009
2,trend,-0.04,2019
3,trend,-0.05,2018
3,trend,-0.05,2017
3,trend,-0.05,2016
3,trend,-0.05,2015
3,trend,-0.05,2014
3,trend,-0.05,2013
3,trend,-0.05,2012
3,trend,-0.05,2011
3,trend,-0.05,2010
3,trend,-0.05,2009
3,trend,-0.05,2019
5,trend,NA,2009
5,trend,NA,2010
5,trend,NA,2011
5,trend,NA,2012
5,trend,NA,2013
5,trend,NA,2014
5,trend,NA,2015
6,trend,0.07,2019
6,trend,0.07,2018
6,trend,0.07,2017
6,trend,0.07,2016
6,trend,0.07,2015
6,trend,0.07,2014
6,trend,0.07,2013
6,trend,0.07,2012
6,trend,0.07,2011
6,trend,0.07,2010
6,trend,0.07,2009
12,trend,-0.01,2018
12,trend,-0.01,2017
12,trend,-0.01,2016
12,trend,-0.01,2015
12,trend,-0.01,2014
12,trend,-0.01,2013
12,trend,-0.01,2012
12,trend,-0.01,2011
12,trend,-0.01,2010
12,trend,-0.01,2009
12,trend,-0.01,2019
14,trend,0.12,2016
14,trend,0.12,2017
14,trend,0.12,2018
14,trend,0.12,2009
14,trend,0.12,2010
14,trend,0.12,2011
14,trend,0.12,2012
14,trend,0.12,2013
14,trend,0.12,2014
14,trend,0.12,2015
14,trend,0.12,2019
15,trend,NA,2018
15,trend,NA,2017
15,trend,NA,2016
15,trend,NA,2015
15,trend,NA,2014
15,trend,NA,2013
15,trend,NA,2012
15,trend,NA,2011
15,trend,NA,2010
15,trend,NA,2009
15,trend,NA,2019
16,trend,NA,2015
16,trend,NA,2014
16,trend,NA,2013
16,trend,NA,2012
16,trend,NA,2011
16,trend,NA,2010
16,trend,NA,2009
17,trend,NA,2018
17,trend,NA,2015
17,trend,NA,2014
17,trend,NA,2011
18,trend,NA,2018
18,trend,NA,2014
18,trend,NA,2011
18,trend,NA,2019
18,trend,NA,2016
18,trend,NA,2015
18,trend,NA,2013
18,trend,NA,2017
23,trend,0.03,2019
23,trend,0.03,2018
23,trend,0.03,2012
23,trend,0.03,2011
23,trend,0.03,2010
23,trend,0.03,2009
24,trend,-0.23,2019
24,trend,-0.23,2018
24,trend,-0.23,2014
24,trend,-0.23,2013
24,trend,-0.23,2012
24,trend,-0.23,2011
24,trend,-0.23,2010
24,trend,-0.23,2009
24,trend,-0.23,2017
24,trend,-0.23,2016
26,trend,0.05,2016
26,trend,0.05,2017
26,trend,0.05,2018
26,trend,0.05,2009
26,trend,0.05,2010
26,trend,0.05,2011
26,trend,0.05,2012
26,trend,0.05,2013
26,trend,0.05,2014
26,trend,0.05,2015
26,trend,0.05,2019
27,trend,-0.22,2019
27,trend,-0.22,2018
27,trend,-0.22,2015
27,trend,-0.22,2013
27,trend,-0.22,2012
27,trend,-0.22,2011
27,trend,-0.22,2010
27,trend,-0.22,2009
27,trend,-0.22,2017
27,trend,-0.22,2016
28,trend,-0.05,2019
28,trend,-0.05,2015
28,trend,-0.05,2014
28,trend,-0.05,2013
28,trend,-0.05,2012
28,trend,-0.05,2011
28,trend,-0.05,2010
28,trend,-0.05,2009
28,trend,-0.05,2017
28,trend,-0.05,2018
28,trend,-0.05,2016
29,trend,-0.05,2016
29,trend,-0.05,2017
29,trend,-0.05,2018
29,trend,-0.05,2009
29,trend,-0.05,2010
29,trend,-0.05,2011
29,trend,-0.05,2012
29,trend,-0.05,2013
29,trend,-0.05,2014
29,trend,-0.05,2015
29,trend,-0.05,2019
32,trend,0.03,2019
32,trend,0.03,2015
32,trend,0.03,2014
32,trend,0.03,2013
32,trend,0.03,2012
32,trend,0.03,2011
32,trend,0.03,2010
32,trend,0.03,2009
32,trend,0.03,2017
32,trend,0.03,2018
32,trend,0.03,2016
35,trend,0.15,2016
35,trend,0.15,2017
35,trend,0.15,2018
35,trend,0.15,2009
35,trend,0.15,2010
35,trend,0.15,2011
35,trend,0.15,2012
35,trend,0.15,2013
35,trend,0.15,2014
35,trend,0.15,2015
35,trend,0.15,2019
36,trend,NA,2019
36,trend,NA,2015
36,trend,NA,2014
36,trend,NA,2013
36,trend,NA,2012
36,trend,NA,2011
36,trend,NA,2010
36,trend,NA,2009
36,trend,NA,2018
36,trend,NA,2017
36,trend,NA,2016
37,trend,-0.02,2016
37,trend,-0.02,2017
37,trend,-0.02,2018
37,trend,-0.02,2009
37,trend,-0.02,2010
37,trend,-0.02,2011
37,trend,-0.02,2012
37,trend,-0.02,2013
37,trend,-0.02,2014
37,trend,-0.02,2015
37,trend,-0.02,2019
38,trend,0.11,2019
38,trend,0.11,2015
38,trend,0.11,2014
38,trend,0.11,2013
38,trend,0.11,2012
38,trend,0.11,2011
38,trend,0.11,2010
38,trend,0.11,2009
38,trend,0.11,2018
38,trend,0.11,2017
38,trend,0.11,2016
39,trend,-0,2016
39,trend,-0,2017
39,trend,-0,2018
39,trend,-0,2009
39,trend,-0,2010
39,trend,-0,2011
39,trend,-0,2012
39,trend,-0,2013
39,trend,-0,2014
39,trend,-0,2015
39,trend,-0,2019
40,trend,0.11,2019
40,trend,0.11,2015
40,trend,0.11,2014
40,trend,0.11,2013
40,trend,0.11,2012
40,trend,0.11,2011
40,trend,0.11,2010
40,trend,0.11,2009
40,trend,0.11,2017
40,trend,0.11,2018
40,trend,0.11,2016
41,trend,0.05,2016
41,trend,0.05,2017
41,trend,0.05,2018
41,trend,0.05,2009
41,trend,0.05,2010
41,trend,0.05,2011
41,trend,0.05,2012
41,trend,0.05,2013
41,trend,0.05,2014
41,trend,0.05,2015
41,trend,0.05,2019
42,trend,0.04,2019
42,trend,0.04,2015
42,trend,0.04,2014
42,trend,0.04,2013
42,trend,0.04,2012
42,trend,0.04,2011
42,trend,0.04,2010
42,trend,0.04,2009
42,trend,0.04,2018
42,trend,0.04,2017
42,trend,0.04,2016
