region_id,helcom_id,year,BQR,area_km2
BHI-043,SEA-014,2018,0.3,6566.777927827697
BHI-002,SEA-001,2018,0.8,15486.2587775
BHI-001,SEA-001,2018,0.8,6975.9304155
BHI-003,SEA-002,2018,0.3,10669.2383075
BHI-006,SEA-003,2018,0.3,465.187572
BHI-005,SEA-003,2018,0.3,455.7312505
BHI-008,SEA-004,2018,0.3,2205.9102645
BHI-007,SEA-004,2018,0.3,1278.683606
BHI-010,SEA-005,2018,0.3,3466.080649
BHI-009,SEA-005,2018,0.3,1154.123011
BHI-013,SEA-006,2018,0.3,7105.5713975
BHI-012,SEA-006,2018,0.3,6266.2470025
BHI-011,SEA-006,2018,0.3,4228.494264
BHI-016,SEA-007,2018,0.06,2594.576657
BHI-015,SEA-007,2018,0.06,9473.897649
BHI-017,SEA-007,2018,0.06,15029.682652
BHI-014,SEA-007,2018,0.06,14919.8066495
BHI-018,SEA-008,2018,0.4584,3725.5379055
BHI-019,SEA-008,2018,0.4584,2150.3407925
BHI-025,SEA-009,2018,0.4584,5454.121375
BHI-023,SEA-009,2018,0.4584,6823.473315
BHI-024,SEA-009,2018,0.4584,20376.908309
BHI-021,SEA-009,2018,0.4584,11020.2552265
BHI-022,SEA-009,2018,0.4584,9444.7925275
BHI-020,SEA-009,2018,0.4584,22015.220537
BHI-026,SEA-010,2018,0.06,34528.1851945
BHI-028,SEA-011,2018,0.3,10812.651423
BHI-027,SEA-011,2018,0.3,7974.5609815
BHI-031,SEA-012,2018,0.3,11859.7643445
BHI-030,SEA-012,2018,0.3,8476.9206145
BHI-029,SEA-012,2018,0.3,12493.9984515
BHI-034,SEA-013,2018,0.3,8397.4601575
BHI-032,SEA-013,2018,0.3,9812.777245
BHI-033,SEA-013,2018,0.3,11667.2227905
BHI-036,SEA-014,2018,0.3,7810.24082
BHI-035,SEA-014,2018,0.3,1718.905606
BHI-038,SEA-015,2018,0.3,27417.80940483557
BHI-037,SEA-015,2018,0.3,31930.84503
BHI-040,SEA-016,2018,0.3,4908.8485945
BHI-039,SEA-016,2018,0.3,3249.9650985
BHI-042,SEA-017,2018,0.3,15956.279071
BHI-041,SEA-017,2018,0.3,16268.46836
