"region_id","year","surf_temp_pressure"
"BHI-001",1992,0.35
"BHI-002",1992,0.35
"BHI-003",1992,0.31
"BHI-005",1992,0.46
"BHI-006",1992,0.46
"BHI-007",1992,0.18
"BHI-008",1992,0.18
"BHI-009",1992,0.28
"BHI-010",1992,0.28
"BHI-011",1992,0.44
"BHI-012",1992,0.44
"BHI-013",1992,0.44
"BHI-014",1992,0.14
"BHI-015",1992,0.14
"BHI-016",1992,0.14
"BHI-017",1992,0.14
"BHI-018",1992,0.24
"BHI-019",1992,0.24
"BHI-020",1992,0.08
"BHI-021",1992,0.08
"BHI-022",1992,0.08
"BHI-023",1992,0.08
"BHI-024",1992,0.08
"BHI-025",1992,0.08
"BHI-026",1992,0.15
"BHI-027",1992,0.04
"BHI-028",1992,0.04
"BHI-029",1992,0.09
"BHI-030",1992,0.09
"BHI-031",1992,0.09
"BHI-032",1992,0.18
"BHI-033",1992,0.18
"BHI-034",1992,0.18
"BHI-035",1992,0.26
"BHI-036",1992,0.26
"BHI-037",1992,0.28
"BHI-038",1992,0.28
"BHI-039",1992,0.49
"BHI-040",1992,0.49
"BHI-041",1992,0.47
"BHI-042",1992,0.47
"BHI-043",1992,0.48
"BHI-001",1993,0.31
"BHI-002",1993,0.31
"BHI-003",1993,0.3
"BHI-005",1993,0.42
"BHI-006",1993,0.42
"BHI-007",1993,0.22
"BHI-008",1993,0.22
"BHI-009",1993,0.29
"BHI-010",1993,0.29
"BHI-011",1993,0.43
"BHI-012",1993,0.43
"BHI-013",1993,0.43
"BHI-014",1993,0.15
"BHI-015",1993,0.15
"BHI-016",1993,0.15
"BHI-017",1993,0.15
"BHI-018",1993,0.25
"BHI-019",1993,0.25
"BHI-020",1993,0.09
"BHI-021",1993,0.09
"BHI-022",1993,0.09
"BHI-023",1993,0.09
"BHI-024",1993,0.09
"BHI-025",1993,0.09
"BHI-026",1993,0.16
"BHI-027",1993,0.1
"BHI-028",1993,0.1
"BHI-029",1993,0.07
"BHI-030",1993,0.07
"BHI-031",1993,0.07
"BHI-032",1993,0.21
"BHI-033",1993,0.21
"BHI-034",1993,0.21
"BHI-035",1993,0.28
"BHI-036",1993,0.28
"BHI-037",1993,0.28
"BHI-038",1993,0.28
"BHI-039",1993,0.46
"BHI-040",1993,0.46
"BHI-041",1993,0.43
"BHI-042",1993,0.43
"BHI-043",1993,0.47
"BHI-001",1994,0.34
"BHI-002",1994,0.34
"BHI-003",1994,0.35
"BHI-005",1994,0.43
"BHI-006",1994,0.43
"BHI-007",1994,0.26
"BHI-008",1994,0.26
"BHI-009",1994,0.3
"BHI-010",1994,0.3
"BHI-011",1994,0.42
"BHI-012",1994,0.42
"BHI-013",1994,0.42
"BHI-014",1994,0.13
"BHI-015",1994,0.13
"BHI-016",1994,0.13
"BHI-017",1994,0.13
"BHI-018",1994,0.26
"BHI-019",1994,0.26
"BHI-020",1994,0.09
"BHI-021",1994,0.09
"BHI-022",1994,0.09
"BHI-023",1994,0.09
"BHI-024",1994,0.09
"BHI-025",1994,0.09
"BHI-026",1994,0.16
"BHI-027",1994,0.12
"BHI-028",1994,0.12
"BHI-029",1994,0.07
"BHI-030",1994,0.07
"BHI-031",1994,0.07
"BHI-032",1994,0.24
"BHI-033",1994,0.24
"BHI-034",1994,0.24
"BHI-035",1994,0.27
"BHI-036",1994,0.27
"BHI-037",1994,0.24
"BHI-038",1994,0.24
"BHI-039",1994,0.46
"BHI-040",1994,0.46
"BHI-041",1994,0.41
"BHI-042",1994,0.41
"BHI-043",1994,0.41
"BHI-001",1995,0.36
"BHI-002",1995,0.36
"BHI-003",1995,0.37
"BHI-005",1995,0.44
"BHI-006",1995,0.44
"BHI-007",1995,0.28
"BHI-008",1995,0.28
"BHI-009",1995,0.31
"BHI-010",1995,0.31
"BHI-011",1995,0.4
"BHI-012",1995,0.4
"BHI-013",1995,0.4
"BHI-014",1995,0.1
"BHI-015",1995,0.1
"BHI-016",1995,0.1
"BHI-017",1995,0.1
"BHI-018",1995,0.18
"BHI-019",1995,0.18
