bhi_id,score,dimension,year
1,100,status,2021
2,63.72,status,2021
3,52.17,status,2021
6,100,status,2021
7,49.26,status,2021
8,99.81,status,2021
9,50,status,2021
10,97.14,status,2021
11,100,status,2021
12,12.91,status,2021
13,31.58,status,2021
14,41.73,status,2021
16,0.61,status,2021
17,100,status,2021
18,57.83,status,2021
19,100,status,2021
20,100,status,2021
21,100,status,2021
22,100,status,2021
23,100,status,2021
25,66.03,status,2021
26,97.93,status,2021
27,100,status,2021
28,99.74,status,2021
29,100,status,2021
30,100,status,2021
31,89.59,status,2021
32,79.75,status,2021
33,100,status,2021
34,56.71,status,2021
35,73.76,status,2021
36,99.97,status,2021
37,99.12,status,2021
38,99.68,status,2021
39,100,status,2021
40,0.45,status,2021
41,17.62,status,2021
42,99.26,status,2021
43,99.64,status,2021
