region_id,month,year,dip_conc
BHI-003,1,1995,0.77
BHI-003,1,1995,0.81
BHI-003,1,1995,1.03
BHI-001,1,1995,0.54
BHI-042,1,1995,0.05333333333333334
BHI-041,1,1995,0.055
BHI-041,1,1995,0.095
BHI-038,1,1995,0.14500000000000002
BHI-037,1,1995,0.20666666666666667
BHI-001,1,1995,0.305
BHI-003,1,1995,0.71
BHI-001,1,1995,0.605
BHI-002,1,1995,0.53
BHI-032,1,1995,0.885
BHI-032,1,1995,0.885
BHI-003,1,1995,0.9
BHI-001,1,1995,0.54
BHI-033,1,1995,0.88
BHI-033,1,1995,0.87
BHI-033,1,1995,0.87
BHI-033,1,1995,1.02
BHI-033,1,1995,1.02
BHI-034,1,1995,0.63
BHI-034,1,1995,0.63
BHI-032,1,1995,0.55
BHI-032,1,1995,0.55
BHI-032,1,1995,0.635
BHI-032,1,1995,0.635
BHI-032,1,1995,0.775
BHI-032,1,1995,0.775
BHI-033,1,1995,0.9
BHI-033,1,1995,0.9
BHI-033,1,1995,0.87
BHI-033,1,1995,0.87
BHI-031,1,1995,0.39
BHI-031,1,1995,0.39
BHI-031,1,1995,0.545
BHI-031,1,1995,0.545
BHI-031,1,1995,0.6
BHI-031,1,1995,0.6
BHI-030,1,1995,0.53
BHI-030,1,1995,0.53
BHI-032,1,1995,0.55
BHI-032,1,1995,0.55
BHI-032,1,1995,0.535
BHI-032,1,1995,0.535
BHI-025,1,1995,0.32
BHI-025,1,1995,0.32
BHI-031,1,1995,0.33
BHI-031,1,1995,0.33
BHI-024,1,1995,0.36
BHI-024,1,1995,0.36
BHI-025,1,1995,0.305
BHI-025,1,1995,0.305
BHI-001,1,1995,0.705
BHI-001,1,1995,0.7133333333333333
BHI-013,1,1995,0.5
BHI-012,1,1995,0.495
BHI-015,1,1995,0.525
BHI-015,1,1995,0.46499999999999997
BHI-003,1,1995,0.68
BHI-038,1,1995,0.27449999999999997
BHI-015,1,1995,0.385
BHI-017,1,1995,0.495
BHI-015,1,1995,0.395
BHI-015,1,1995,0.355
BHI-014,1,1995,0.35
BHI-014,1,1995,0.4
BHI-021,1,1995,0.565
BHI-024,1,1995,0.7
BHI-024,1,1995,0.5366666666666667
BHI-020,1,1995,0.5333333333333333
