region_id,month,year,secchi_depth
BHI-026,6,1995,7
BHI-026,6,1995,7
BHI-031,6,1995,6
BHI-031,6,1995,6
BHI-034,6,1995,4.5
BHI-034,6,1995,4.5
BHI-032,6,1995,6.5
BHI-034,6,1995,4
BHI-032,6,1995,5
BHI-034,6,1995,3.5
BHI-034,6,1995,3
BHI-032,6,1995,6
BHI-032,6,1995,5.5
BHI-032,6,1995,5
BHI-014,6,1995,8
BHI-014,6,1995,8
BHI-001,6,1995,6.5
BHI-001,6,1995,6.5
BHI-001,6,1995,6
BHI-001,6,1995,6
BHI-034,6,1995,5
BHI-034,6,1995,5
BHI-034,6,1995,5
BHI-034,6,1995,4
BHI-032,6,1995,4
BHI-032,6,1995,4
BHI-032,6,1995,3.5
BHI-003,6,1995,6.5
BHI-003,6,1995,6
BHI-001,6,1995,8
BHI-026,6,1995,5.8
BHI-034,6,1995,5.5
BHI-034,6,1995,5.5
BHI-034,6,1995,5
BHI-034,6,1995,5
BHI-032,6,1995,5
BHI-032,6,1995,5
BHI-034,6,1995,5.5
BHI-032,6,1995,5
BHI-034,6,1995,6
BHI-032,6,1995,5
BHI-032,6,1995,7
BHI-034,6,1995,5
BHI-032,6,1995,5
BHI-034,6,1995,5
BHI-034,6,1995,5
BHI-038,6,1995,6.2
BHI-001,6,1995,8
BHI-031,6,1995,5.5
BHI-031,6,1995,6
BHI-030,6,1995,5
BHI-031,6,1995,6
BHI-030,6,1995,6
BHI-034,6,1995,6
BHI-034,6,1995,6.5
BHI-032,6,1995,6
BHI-034,6,1995,5.5
BHI-032,6,1995,5
BHI-032,6,1995,5.5
BHI-032,6,1995,4.5
BHI-032,6,1995,5
BHI-032,6,1995,6
BHI-032,6,1995,6.5
BHI-032,6,1995,5
BHI-041,6,1995,6.9
BHI-003,6,1995,7
BHI-003,6,1995,6
BHI-034,6,1995,5.5
BHI-034,6,1995,4.5
BHI-034,6,1995,6
BHI-034,6,1995,4.5
BHI-034,6,1995,6
BHI-032,6,1995,4.5
BHI-034,6,1995,5.5
BHI-034,6,1995,5
BHI-032,6,1995,4.5
BHI-032,6,1995,5.5
BHI-032,6,1995,5
BHI-032,6,1995,4.5
BHI-032,6,1995,5.5
BHI-032,6,1995,4.5
BHI-003,6,1995,6
BHI-036,6,1995,4.5
BHI-002,6,1995,6
BHI-038,6,1995,4.5
BHI-037,6,1995,5
BHI-038,6,1995,2
BHI-038,6,1995,2
BHI-006,6,1995,7.5
BHI-038,6,1995,6
BHI-038,6,1995,5.5
BHI-039,6,1995,4.5
BHI-041,6,1995,4.5
BHI-042,6,1995,6.5
BHI-042,6,1995,7.5
BHI-042,6,1995,5.5
BHI-041,6,1995,5
BHI-041,6,1995,6.5
BHI-038,6,1995,5
BHI-038,6,1995,4.5
BHI-038,6,1995,5.5
BHI-003,6,1995,6
BHI-012,6,1995,9.75
BHI-003,6,1995,6.5
BHI-003,6,1995,6
BHI-006,6,1995,5.5
BHI-026,6,1995,6
BHI-012,6,1995,6.5
BHI-003,6,1995,6
BHI-001,6,1995,7
BHI-032,6,1995,5
BHI-032,6,1995,5.5
BHI-003,6,1995,6
BHI-006,6,1995,8.4
BHI-001,6,1995,6
BHI-038,6,1995,3
BHI-038,6,1995,3
BHI-011,6,1995,9
BHI-001,6,1995,6.5
BHI-001,6,1995,6.5
BHI-001,6,1995,7
BHI-001,6,1995,7
BHI-001,6,1995,7
BHI-001,6,1995,7
BHI-001,6,1995,6
BHI-001,6,1995,6
BHI-041,6,1995,5.2
BHI-012,6,1995,8
BHI-011,6,1995,6
BHI-011,6,1995,6
BHI-015,6,1995,7
BHI-015,6,1995,7
BHI-017,6,1995,5
BHI-017,6,1995,5
BHI-015,6,1995,6
BHI-015,6,1995,6
BHI-014,6,1995,6
BHI-014,6,1995,6
BHI-038,6,1995,6.3
BHI-024,6,1995,6
BHI-024,6,1995,6
BHI-024,6,1995,5
BHI-024,6,1995,5
BHI-024,6,1995,5
BHI-024,6,1995,5
BHI-024,6,1995,5
BHI-024,6,1995,5
BHI-026,6,1995,4.5
BHI-026,6,1995,4.5
BHI-026,6,1995,5
BHI-026,6,1995,5
BHI-003,7,1995,6.5
BHI-003,7,1995,7
BHI-003,7,1995,6
BHI-026,7,1995,5.9
BHI-003,7,1995,6.5
BHI-033,7,1995,5
BHI-033,7,1995,4
BHI-034,7,1995,6
BHI-032,7,1995,6
BHI-001,7,1995,7
BHI-038,7,1995,3
BHI-038,7,1995,3
BHI-003,7,1995,6.5
BHI-002,7,1995,7
BHI-001,7,1995,7
BHI-024,7,1995,5
BHI-024,7,1995,5
BHI-027,7,1995,2
BHI-027,7,1995,2
BHI-027,7,1995,2
BHI-020,7,1995,5
BHI-020,7,1995,5
BHI-041,7,1995,5.5
BHI-015,7,1995,7.5
BHI-015,7,1995,7.5
BHI-015,7,1995,6.5
BHI-015,7,1995,6.5
BHI-006,7,1995,9.5
BHI-027,7,1995,2
BHI-027,7,1995,2
BHI-038,7,1995,6.2
BHI-001,7,1995,6.5
BHI-001,7,1995,6.5
BHI-001,7,1995,6.5
BHI-001,7,1995,6.5
BHI-027,7,1995,2
BHI-003,7,1995,6
BHI-003,7,1995,6.5
BHI-006,7,1995,6.5
BHI-006,7,1995,7.5
BHI-026,7,1995,3.9
BHI-003,7,1995,5.5
BHI-003,7,1995,6
BHI-003,7,1995,5.8
BHI-003,7,1995,6
BHI-012,7,1995,6.4
BHI-012,7,1995,6
BHI-003,7,1995,6.5
BHI-003,7,1995,6
BHI-032,7,1995,4
BHI-038,7,1995,3
BHI-038,7,1995,3
BHI-001,7,1995,6
BHI-032,7,1995,4
BHI-041,7,1995,4.6
BHI-007,7,1995,6
BHI-007,7,1995,5.5
BHI-007,7,1995,6.5
BHI-003,7,1995,7
BHI-011,7,1995,8.5
BHI-032,7,1995,5
BHI-038,7,1995,5.2
BHI-003,7,1995,6
BHI-003,7,1995,6
BHI-032,7,1995,4
BHI-003,7,1995,6
BHI-003,7,1995,6
BHI-003,7,1995,6
BHI-001,7,1995,7
BHI-034,7,1995,4
BHI-032,7,1995,4.5
BHI-026,8,1995,4.2
BHI-034,8,1995,5
BHI-032,8,1995,4
BHI-032,8,1995,4.5
BHI-036,8,1995,7
BHI-036,8,1995,7
BHI-001,8,1995,5.5
BHI-001,8,1995,5.5
BHI-001,8,1995,6
BHI-001,8,1995,6
BHI-001,8,1995,8
BHI-001,8,1995,8
BHI-001,8,1995,6.5
BHI-001,8,1995,6.5
BHI-001,8,1995,6
BHI-001,8,1995,6
BHI-032,8,1995,4.5
BHI-003,8,1995,7.5
BHI-003,8,1995,6.5
BHI-001,8,1995,7
BHI-001,8,1995,7
BHI-032,8,1995,5
BHI-032,8,1995,4.5
BHI-013,8,1995,6
BHI-012,8,1995,7
BHI-012,8,1995,7
BHI-032,8,1995,4.5
BHI-032,8,1995,4.5
BHI-003,8,1995,6
