helcom_id,param,value
EST-001,SECCHI,3.6
EST-002,SECCHI,3.6
EST-003,SECCHI,4.5
EST-004,SECCHI,4.5
EST-005,SECCHI,4.5
EST-006,SECCHI,4.5
EST-007,SECCHI,6.5
EST-008,SECCHI,4.9
EST-009,SECCHI,4.9
EST-010,SECCHI,6.5
EST-011,SECCHI,6.5
EST-012,SECCHI,4.2
EST-013,SECCHI,3.2
EST-014,SECCHI,4.9
EST-015,SECCHI,4.9
EST-016,SECCHI,4.9
FIN-001,SECCHI,3.6
FIN-002,SECCHI,5.8
FIN-003,SECCHI,3.5
FIN-004,SECCHI,4.4
FIN-005,SECCHI,4.6
FIN-006,SECCHI,2.3
FIN-007,SECCHI,3.7
FIN-008,SECCHI,3.3
FIN-009,SECCHI,4.1
FIN-010,SECCHI,2.4
FIN-011,SECCHI,3.3
FIN-012,SECCHI,3.7
FIN-013,SECCHI,5.3
FIN-014,SECCHI,6.3
GER-001,SECCHI,7.2
GER-002,SECCHI,7.2
GER-003,SECCHI,7.2
GER-004,SECCHI,7.2
GER-005,SECCHI,6.1
GER-006,SECCHI,7.2
GER-007,SECCHI,1.7
GER-008,SECCHI,1.7
GER-009,SECCHI,6.1
GER-010,SECCHI,6.3
GER-011,SECCHI,6.1
GER-012,SECCHI,6.1
GER-013,SECCHI,6.1
GER-014,SECCHI,6.1
GER-015,SECCHI,6.3
GER-016,SECCHI,1.7
GER-017,SECCHI,1.7
GER-018,SECCHI,6.3
GER-019,SECCHI,6.3
GER-020,SECCHI,1.7
GER-021,SECCHI,7.2
GER-022,SECCHI,7.2
GER-023,SECCHI,7.2
GER-024,SECCHI,7.2
GER-025,SECCHI,7.2
GER-026,SECCHI,6.1
GER-027,SECCHI,6.1
GER-028,SECCHI,7.2
GER-029,SECCHI,7.2
GER-030,SECCHI,7.2
GER-031,SECCHI,7.2
GER-032,SECCHI,7.2
GER-033,SECCHI,7.2
GER-034,SECCHI,7.2
GER-035,SECCHI,7.2
GER-036,SECCHI,7.2
GER-037,SECCHI,7.2
GER-038,SECCHI,7.2
GER-039,SECCHI,7.2
GER-040,SECCHI,7.2
GER-041,SECCHI,7.2
GER-042,SECCHI,7.2
GER-043,SECCHI,6.1
GER-044,SECCHI,6.1
GER-111,SECCHI,6.1
LAT-001,SECCHI,4.5
LAT-002,SECCHI,4.5
LAT-003,SECCHI,4
LAT-004,SECCHI,4
LAT-005,SECCHI,3
LIT-002,SECCHI,5
LIT-003,SECCHI,5
POL-001*,SECCHI,1.9
POL-002*,SECCHI,1.9
POL-003*,SECCHI,0.75
POL-004*,SECCHI,3.4
POL-005,SECCHI,4.5
POL-006,SECCHI,4.5
POL-007,SECCHI,4.5
POL-008,SECCHI,3
POL-009,SECCHI,3.75
POL-010,SECCHI,5.6
POL-011,SECCHI,3.5
POL-012,SECCHI,5.6
POL-013,SECCHI,5.6
POL-014,SECCHI,5.6
POL-015,SECCHI,5.6
POL-016,SECCHI,5.6
POL-017,SECCHI,5.6
POL-018,SECCHI,3.8
POL-019,SECCHI,5.6
SWE-001,SECCHI,0.69
SWE-003,SECCHI,0.76
SWE-004,SECCHI,0.76
SWE-005,SECCHI,0.75
SWE-006,SECCHI,0.7
SWE-007,SECCHI,0.7
SWE-008,SECCHI,0.7
SWE-009,SECCHI,0.7
SWE-010,SECCHI,0.7
SWE-011,SECCHI,0.7
SWE-012,SECCHI,0.7
SWE-013,SECCHI,0.7
SWE-014,SECCHI,0.7
SWE-015,SECCHI,0.7
SWE-016,SECCHI,0.7
SWE-017,SECCHI,0.7
SWE-018,SECCHI,0.44
SWE-019,SECCHI,0.44
SWE-020,SECCHI,0.44
SWE-021,SECCHI,0.44
SWE-022,SECCHI,0.44
SWE-023,SECCHI,0.44
SWE-024,SECCHI,0.7
SWE-025,SECCHI,0.67
LAT-001,DIN,8
LAT-002,DIN,8
LAT-003,DIN,11
LAT-004,DIN,11
LAT-005,DIN,14
POL-001,DIN,1.05
POL-002,DIN,1.05
POL-003,DIN,0.38
POL-004,DIN,0.03
POL-005,DIN,0.15
POL-006,DIN,0.15
POL-007,DIN,0.18
POL-008,DIN,0.23
POL-009,DIN,0.32
POL-010,DIN,0.1
POL-011,DIN,0.15
POL-012,DIN,0.1
POL-013,DIN,0.1
POL-014,DIN,0.1
POL-015,DIN,0.1
POL-016,DIN,0.1
POL-017,DIN,0.1
POL-018,DIN,0.23
POL-019,DIN,0.1
SWE-001,DIN,0.67
SWE-003,DIN,0.67
SWE-004,DIN,0.67
SWE-005,DIN,0.67
SWE-006,DIN,0.67
SWE-007,DIN,0.67
SWE-008,DIN,0.67
SWE-009,DIN,0.66
SWE-010,DIN,0.66
SWE-011,DIN,0.67
SWE-012,DIN,0.67
SWE-013,DIN,0.67
SWE-014,DIN,0.67
SWE-016,DIN,0.67
SWE-017,DIN,0.67
SWE-018,DIN,0.66
SWE-019,DIN,0.66
SWE-020,DIN,0.67
SWE-021,DIN,0.67
SWE-022,DIN,0.67
SWE-023,DIN,0.67
SWE-025,DIN,0.67
LAT-001,DIP,0.6
LAT-002,DIP,0.6
LAT-003,DIP,0.75
LAT-004,DIP,0.75
LAT-005,DIP,0.9
POL-001,DIP,0.05
POL-002,DIP,0.05
POL-003,DIP,0.05
POL-004,DIP,0.09
POL-005,DIP,0.02
POL-006,DIP,0.02
POL-007,DIP,0.04
POL-008,DIP,0.04
POL-009,DIP,0.04
POL-010,DIP,0.02
POL-011,DIP,0.02
POL-012,DIP,0.02
POL-013,DIP,0.02
POL-014,DIP,0.02
POL-015,DIP,0.02
POL-016,DIP,0.02
POL-017,DIP,0.02
POL-018,DIP,0.02
POL-019,DIP,0.02
SWE-001,DIP,0.68
SWE-003,DIP,0.68
SWE-004,DIP,0.67
SWE-005,DIP,0.67
SWE-006,DIP,0.66
SWE-007,DIP,0.66
SWE-008,DIP,0.66
SWE-009,DIP,0.66
SWE-010,DIP,0.66
SWE-011,DIP,0.66
SWE-012,DIP,0.66
SWE-013,DIP,0.66
SWE-014,DIP,0.66
SWE-016,DIP,0.65
SWE-017,DIP,0.65
SWE-018,DIP,0.67
SWE-019,DIP,0.67
SWE-020,DIP,0.68
SWE-021,DIP,0.68
SWE-022,DIP,0.67
SWE-023,DIP,0.67
SWE-025,DIP,0.68
DEN-001,CHLA,2.1
DEN-002,CHLA,3.6
DEN-003,CHLA,1.7
DEN-006,CHLA,2.1
DEN-007,CHLA,2.1
DEN-008,CHLA,2.1
DEN-009,CHLA,2.1
DEN-010,CHLA,2.1
DEN-011,CHLA,1.6
DEN-012,CHLA,2.1
DEN-013,CHLA,2.1
DEN-014,CHLA,3.6
DEN-015,CHLA,2.1
DEN-016,CHLA,2.1
DEN-017,CHLA,2.1
DEN-018,CHLA,1.5
DEN-019,CHLA,1.7
DEN-020,CHLA,1.5
DEN-021,CHLA,1.7
DEN-022,CHLA,2.1
DEN-023,CHLA,2.1
DEN-024,CHLA,2.1
DEN-025,CHLA,1.7
DEN-027,CHLA,3.6
DEN-028,CHLA,3.6
DEN-030,CHLA,3.6
DEN-031,CHLA,2.1
DEN-033,CHLA,2.1
DEN-034,CHLA,7
DEN-035,CHLA,7
DEN-036,CHLA,7
DEN-037,CHLA,2.1
DEN-038,CHLA,3.6
DEN-039,CHLA,3.6
DEN-040,CHLA,2.1
DEN-041,CHLA,7
DEN-042,CHLA,2.1
DEN-043,CHLA,2.1
DEN-044,CHLA,3.6
DEN-045,CHLA,3.6
DEN-046,CHLA,3.6
DEN-047,CHLA,2.1
DEN-048,CHLA,3.6
DEN-049,CHLA,2.1
DEN-050,CHLA,2.1
DEN-051,CHLA,1.5
DEN-052,CHLA,3.6
DEN-053,CHLA,3.6
DEN-054,CHLA,1.7
DEN-055,CHLA,1.9
DEN-057,CHLA,2.1
DEN-060,CHLA,2.1
DEN-061,CHLA,2.1
DEN-062,CHLA,2.1
DEN-063,CHLA,2.1
DEN-064,CHLA,2.1
DEN-065,CHLA,2.1
DEN-066,CHLA,2.1
DEN-067,CHLA,3.6
DEN-068,CHLA,3.6
DEN-069,CHLA,3.6
DEN-070,CHLA,3.6
DEN-071,CHLA,3.6
DEN-072,CHLA,3.6
DEN-074,CHLA,7
DEN-075,CHLA,3.6
DEN-076,CHLA,1.6
DEN-077,CHLA,1.6
DEN-078,CHLA,1.9
DEN-079,CHLA,2.1
DEN-080,CHLA,2.1
DEN-082,CHLA,2.1
DEN-083,CHLA,3.6
DEN-084,CHLA,2.1
