bhi_id,score,dimension,year
1,13.5,status,2021
2,13.5,status,2021
3,13.5,status,2021
5,3.37,status,2021
6,3.37,status,2021
7,13.5,status,2021
8,13.5,status,2021
9,13.5,status,2021
10,13.5,status,2021
11,14.21,status,2021
12,14.21,status,2021
13,14.21,status,2021
14,14.21,status,2021
15,14.21,status,2021
16,14.21,status,2021
17,14.21,status,2021
18,1.29,status,2021
19,1.29,status,2021
20,6.75,status,2021
21,6.75,status,2021
22,6.75,status,2021
23,6.75,status,2021
24,6.75,status,2021
25,6.75,status,2021
26,22.5,status,2021
27,1.5,status,2021
28,1.5,status,2021
29,45,status,2021
30,45,status,2021
31,45,status,2021
32,13.5,status,2021
33,13.5,status,2021
34,13.5,status,2021
35,45,status,2021
36,45,status,2021
37,33.75,status,2021
38,33.75,status,2021
39,90,status,2021
40,90,status,2021
41,33.75,status,2021
42,33.75,status,2021
43,45,status,2021
