region_id,stock,year,value
BHI-009,cod_SDs24_32,1946,20.79708405
BHI-009,cod_SDs24_32,1947,36.44931913
BHI-009,cod_SDs24_32,1948,54.3479539
BHI-009,cod_SDs24_32,1949,57.20530123
BHI-009,cod_SDs24_32,1950,63.17980087
BHI-009,cod_SDs24_32,1951,69.93168571
BHI-009,cod_SDs24_32,1952,81.74875277
BHI-009,cod_SDs24_32,1953,59.94390956
BHI-009,cod_SDs24_32,1954,62.89462431
BHI-009,cod_SDs24_32,1955,58.05778631
BHI-009,cod_SDs24_32,1956,77.12199146
BHI-009,cod_SDs24_32,1957,92.03083925
BHI-009,cod_SDs24_32,1958,69.16343427
BHI-009,cod_SDs24_32,1959,63.95312662
BHI-009,cod_SDs24_32,1960,73.78461384
BHI-009,cod_SDs24_32,1961,56.84959168
BHI-009,cod_SDs24_32,1962,58.63524347
BHI-009,cod_SDs24_32,1963,62.43793587
BHI-009,cod_SDs24_32,1964,49.62072113
BHI-009,cod_SDs24_32,1965,55.72055637
BHI-009,cod_SDs24_32,1966,94.40917115
BHI-009,cod_SDs24_32,1967,105.1291711
BHI-009,cod_SDs24_32,1968,114.7064351
BHI-009,cod_SDs24_32,1969,113.0628641
BHI-009,cod_SDs24_32,1970,104.569474
BHI-009,cod_SDs24_32,1971,86.39834851
BHI-009,cod_SDs24_32,1972,77.29350334
BHI-009,cod_SDs24_32,1973,76.44710743
BHI-009,cod_SDs24_32,1974,79.03145656
BHI-009,cod_SDs24_32,1975,103.6302182
BHI-009,cod_SDs24_32,1976,105.3651268
BHI-009,cod_SDs24_32,1977,85.13179924
BHI-009,cod_SDs24_32,1978,83.15992005
BHI-009,cod_SDs24_32,1979,122.9379905
BHI-009,cod_SDs24_32,1980,180.7283603
BHI-009,cod_SDs24_32,1981,171.4240945
BHI-009,cod_SDs24_32,1982,166.2345916
BHI-009,cod_SDs24_32,1983,174.1231232
BHI-009,cod_SDs24_32,1984,203.2126544
BHI-009,cod_SDs24_32,1985,164.0435019
BHI-009,cod_SDs24_32,1986,130.1085064
BHI-009,cod_SDs24_32,1987,109.8188539
BHI-009,cod_SDs24_32,1988,102.5214801
BHI-009,cod_SDs24_32,1989,92.6773071
BHI-009,cod_SDs24_32,1990,80.03870829
BHI-009,cod_SDs24_32,1991,63.55986713
BHI-009,cod_SDs24_32,1992,28.81501074
BHI-009,cod_SDs24_32,1993,26.52294221
BHI-009,cod_SDs24_32,1994,52.17005748
BHI-009,cod_SDs24_32,1995,55.60942885
BHI-009,cod_SDs24_32,1996,63.74964655
BHI-009,cod_SDs24_32,1997,46.7151678
BHI-009,cod_SDs24_32,1998,35.38168305
BHI-009,cod_SDs24_32,1999,37.97262879
BHI-009,cod_SDs24_32,2000,48.36229077
BHI-009,cod_SDs24_32,2001,47.80969775
BHI-009,cod_SDs24_32,2002,35.11528146
BHI-009,cod_SDs24_32,2003,36.28186671
BHI-009,cod_SDs24_32,2004,35.40806949
BHI-009,cod_SDs24_32,2005,28.77238648
BHI-009,cod_SDs24_32,2006,35.60901241
BHI-009,cod_SDs24_32,2007,27.90315616
BHI-009,cod_SDs24_32,2008,23.33170489
BHI-009,cod_SDs24_32,2009,26.26770411
BHI-009,cod_SDs24_32,2010,27.30946119
BHI-009,cod_SDs24_32,2011,27.51192639
BHI-009,cod_SDs24_32,2012,29.44118133
BHI-009,cod_SDs24_32,2013,18.45782439
BHI-009,cod_SDs24_32,2014,19.55438407
BHI-009,cod_SDs24_32,2015,22.35185447
BHI-009,cod_SDs24_32,2016,16.53821065
BHI-009,cod_SDs24_32,2017,14.48970929
BHI-009,cod_SDs24_32,2018,9.591979502
BHI-009,cod_SDs24_32,2019,4.903311534
BHI-009,cod_SDs24_32,2020,1.223417583
BHI-010,cod_SDs24_32,1946,78.95028898
BHI-010,cod_SDs24_32,1947,138.3696037
BHI-010,cod_SDs24_32,1948,206.316744
BHI-010,cod_SDs24_32,1949,217.1638606
BHI-010,cod_SDs24_32,1950,239.8443706
BHI-010,cod_SDs24_32,1951,265.4760053
BHI-010,cod_SDs24_32,1952,310.3361817
BHI-010,cod_SDs24_32,1953,227.5602181
BHI-010,cod_SDs24_32,1954,238.7617779
BHI-010,cod_SDs24_32,1955,220.4000809
BHI-010,cod_SDs24_32,1956,292.7719817
BHI-010,cod_SDs24_32,1957,349.3692354
BHI-010,cod_SDs24_32,1958,262.5595544
BHI-010,cod_SDs24_32,1959,242.7800847
BHI-010,cod_SDs24_32,1960,280.1025648
BHI-010,cod_SDs24_32,1961,215.8135092
BHI-010,cod_SDs24_32,1962,222.5922348
BHI-010,cod_SDs24_32,1963,237.0280885
BHI-010,cod_SDs24_32,1964,188.3711323
BHI-010,cod_SDs24_32,1965,211.5274438
BHI-010,cod_SDs24_32,1966,358.3979045
BHI-010,cod_SDs24_32,1967,399.0933737
BHI-010,cod_SDs24_32,1968,435.4507667
BHI-010,cod_SDs24_32,1969,429.2114112
BHI-010,cod_SDs24_32,1970,396.968641
BHI-010,cod_SDs24_32,1971,327.9870661
BHI-010,cod_SDs24_32,1972,293.4230784
BHI-010,cod_SDs24_32,1973,290.2099741
BHI-010,cod_SDs24_32,1974,300.0207297
BHI-010,cod_SDs24_32,1975,393.4030198
BHI-010,cod_SDs24_32,1976,399.9891132
BHI-010,cod_SDs24_32,1977,323.1789675
BHI-010,cod_SDs24_32,1978,315.6932819
BHI-010,cod_SDs24_32,1979,466.699555
BHI-010,cod_SDs24_32,1980,686.0844644
BHI-010,cod_SDs24_32,1981,650.7634324
BHI-010,cod_SDs24_32,1982,631.0629418
BHI-010,cod_SDs24_32,1983,661.0095367
BHI-010,cod_SDs24_32,1984,771.4397726
BHI-010,cod_SDs24_32,1985,622.7450853
BHI-010,cod_SDs24_32,1986,493.9204049
BHI-010,cod_SDs24_32,1987,416.8964375
BHI-010,cod_SDs24_32,1988,389.1940072
BHI-010,cod_SDs24_32,1989,351.823369
BHI-010,cod_SDs24_32,1990,303.844478
BHI-010,cod_SDs24_32,1991,241.2871855
BHI-010,cod_SDs24_32,1992,109.3880959
BHI-010,cod_SDs24_32,1993,100.6869014
BHI-010,cod_SDs24_32,1994,198.0489718
BHI-010,cod_SDs24_32,1995,211.1055793
BHI-010,cod_SDs24_32,1996,242.0076297
BHI-010,cod_SDs24_32,1997,177.3410151
BHI-010,cod_SDs24_32,1998,134.3166231
BHI-010,cod_SDs24_32,1999,144.152421
BHI-010,cod_SDs24_32,2000,183.5938549
BHI-010,cod_SDs24_32,2001,181.4960907
BHI-010,cod_SDs24_32,2002,133.3053043
BHI-010,cod_SDs24_32,2003,137.7339176
BHI-010,cod_SDs24_32,2004,134.4167919
BHI-010,cod_SDs24_32,2005,109.2262849
BHI-010,cod_SDs24_32,2006,135.1796152
BHI-010,cod_SDs24_32,2007,105.9264961
BHI-010,cod_SDs24_32,2008,88.57226515
BHI-010,cod_SDs24_32,2009,99.71796168
BHI-010,cod_SDs24_32,2010,103.6726998
BHI-010,cod_SDs24_32,2011,104.4413021
BHI-010,cod_SDs24_32,2012,111.7651767
BHI-010,cod_SDs24_32,2013,70.06994661
BHI-010,cod_SDs24_32,2014,74.23272749
BHI-010,cod_SDs24_32,2015,84.85253823
BHI-010,cod_SDs24_32,2016,62.78267216
BHI-010,cod_SDs24_32,2017,55.00611204
BHI-010,cod_SDs24_32,2018,36.41325638
BHI-010,cod_SDs24_32,2019,18.6140452
BHI-010,cod_SDs24_32,2020,4.644361272
BHI-011,cod_SDs24_32,1946,428.6342282
BHI-011,cod_SDs24_32,1947,751.2315541
BHI-011,cod_SDs24_32,1948,1120.127861
BHI-011,cod_SDs24_32,1949,1179.018658
BHI-011,cod_SDs24_32,1950,1302.154913
BHI-011,cod_SDs24_32,1951,1441.313313
BHI-011,cod_SDs24_32,1952,1684.86666
BHI-011,cod_SDs24_32,1953,1235.462209
BHI-011,cod_SDs24_32,1954,1296.277337
BHI-011,cod_SDs24_32,1955,1196.588635
BHI-011,cod_SDs24_32,1956,1589.507702
BHI-011,cod_SDs24_32,1957,1896.78359
BHI-011,cod_SDs24_32,1958,1425.479418
BHI-011,cod_SDs24_32,1959,1318.093392
BHI-011,cod_SDs24_32,1960,1520.723334
BHI-011,cod_SDs24_32,1961,1171.687376
BHI-011,cod_SDs24_32,1962,1208.490203
BHI-011,cod_SDs24_32,1963,1286.86485
BHI-011,cod_SDs24_32,1964,1022.698155
BHI-011,cod_SDs24_32,1965,1148.417615
BHI-011,cod_SDs24_32,1966,1945.801734
BHI-011,cod_SDs24_32,1967,2166.744193
BHI-011,cod_SDs24_32,1968,2364.134517
BHI-011,cod_SDs24_32,1969,2330.26002
BHI-011,cod_SDs24_32,1970,2155.208667
BHI-011,cod_SDs24_32,1971,1780.696242
BHI-011,cod_SDs24_32,1972,1593.042614
BHI-011,cod_SDs24_32,1973,1575.598137
BHI-011,cod_SDs24_32,1974,1628.862359
BHI-011,cod_SDs24_32,1975,2135.850317
BHI-011,cod_SDs24_32,1976,2171.607312
BHI-011,cod_SDs24_32,1977,1754.592277
BHI-011,cod_SDs24_32,1978,1713.951247
BHI-011,cod_SDs24_32,1979,2533.789377
BHI-011,cod_SDs24_32,1980,3724.866478
BHI-011,cod_SDs24_32,1981,3533.10273
BHI-011,cod_SDs24_32,1982,3426.145496
BHI-011,cod_SDs24_32,1983,3588.730532
BHI-011,cod_SDs24_32,1984,4188.274619
BHI-011,cod_SDs24_32,1985,3380.986472
BHI-011,cod_SDs24_32,1986,2681.575891
BHI-011,cod_SDs24_32,1987,2263.399983
BHI-011,cod_SDs24_32,1988,2112.998889
BHI-011,cod_SDs24_32,1989,1910.107489
BHI-011,cod_SDs24_32,1990,1649.622123
BHI-011,cod_SDs24_32,1991,1309.988194
BHI-011,cod_SDs24_32,1992,593.8861359
BHI-011,cod_SDs24_32,1993,546.6459063
BHI-011,cod_SDs24_32,1994,1075.240753
BHI-011,cod_SDs24_32,1995,1146.127243
BHI-011,cod_SDs24_32,1996,1313.899606
BHI-011,cod_SDs24_32,1997,962.8138176
BHI-011,cod_SDs24_32,1998,729.2272496
BHI-011,cod_SDs24_32,1999,782.6274294
BHI-011,cod_SDs24_32,2000,996.7615229
BHI-011,cod_SDs24_32,2001,985.3724129
BHI-011,cod_SDs24_32,2002,723.7366319
BHI-011,cod_SDs24_32,2003,747.7803086
BHI-011,cod_SDs24_32,2004,729.7710823
BHI-011,cod_SDs24_32,2005,593.0076371
BHI-011,cod_SDs24_32,2006,733.9125768
BHI-011,cod_SDs24_32,2007,575.0925356
BHI-011,cod_SDs24_32,2008,480.8735345
BHI-011,cod_SDs24_32,2009,541.3853716
BHI-011,cod_SDs24_32,2010,562.8563017
BHI-011,cod_SDs24_32,2011,567.0291712
BHI-011,cod_SDs24_32,2012,606.7917023
BHI-011,cod_SDs24_32,2013,380.4213749
BHI-011,cod_SDs24_32,2014,403.0218035
BHI-011,cod_SDs24_32,2015,460.6785194
BHI-011,cod_SDs24_32,2016,340.8575519
BHI-011,cod_SDs24_32,2017,298.6373157
BHI-011,cod_SDs24_32,2018,197.6936151
BHI-011,cod_SDs24_32,2019,101.0587421
BHI-011,cod_SDs24_32,2020,25.21500852
BHI-012,cod_SDs24_32,1946,604.9842073
BHI-012,cod_SDs24_32,1947,1060.305492
BHI-012,cod_SDs24_32,1948,1580.974223
BHI-012,cod_SDs24_32,1949,1664.094049
BHI-012,cod_SDs24_32,1950,1837.891391
BHI-012,cod_SDs24_32,1951,2034.302758
BHI-012,cod_SDs24_32,1952,2378.059552
BHI-012,cod_SDs24_32,1953,1743.759775
BHI-012,cod_SDs24_32,1954,1829.595646
BHI-012,cod_SDs24_32,1955,1688.892719
BHI-012,cod_SDs24_32,1956,2243.467726
BHI-012,cod_SDs24_32,1957,2677.163981
BHI-012,cod_SDs24_32,1958,2011.954433
BHI-012,cod_SDs24_32,1959,1860.387327
BHI-012,cod_SDs24_32,1960,2146.383887
BHI-012,cod_SDs24_32,1961,1653.746509
BHI-012,cod_SDs24_32,1962,1705.690865
BHI-012,cod_SDs24_32,1963,1816.310644
BHI-012,cod_SDs24_32,1964,1443.459697
BHI-012,cod_SDs24_32,1965,1620.903033
BHI-012,cod_SDs24_32,1966,2746.349316
BHI-012,cod_SDs24_32,1967,3058.192585
BHI-012,cod_SDs24_32,1968,3336.793827
BHI-012,cod_SDs24_32,1969,3288.982583
BHI-012,cod_SDs24_32,1970,3041.911077
BHI-012,cod_SDs24_32,1971,2513.315629
BHI-012,cod_SDs24_32,1972,2248.456982
BHI-012,cod_SDs24_32,1973,2223.835446
BHI-012,cod_SDs24_32,1974,2299.013793
BHI-012,cod_SDs24_32,1975,3014.588258
BHI-012,cod_SDs24_32,1976,3065.056502
BHI-012,cod_SDs24_32,1977,2476.471891
BHI-012,cod_SDs24_32,1978,2419.110207
BHI-012,cod_SDs24_32,1979,3576.248599
BHI-012,cod_SDs24_32,1980,5257.362211
BHI-012,cod_SDs24_32,1981,4986.702447
BHI-012,cod_SDs24_32,1982,4835.740547
BHI-012,cod_SDs24_32,1983,5065.216806
BHI-012,cod_SDs24_32,1984,5911.427118
BHI-012,cod_SDs24_32,1985,4772.002062
BHI-012,cod_SDs24_32,1986,3784.837884
