region_id,stock,year,value
BHI-001,cod_SDs22_24,2019,25.40539164
BHI-002,cod_SDs22_24,2019,18.70098087
BHI-003,cod_SDs22_24,2019,1609.91206
BHI-005,cod_SDs22_24,2019,68.63819862
BHI-006,cod_SDs22_24,2019,70.22944834
BHI-007,cod_SDs22_24,2019,194.4270392
BHI-008,cod_SDs22_24,2019,333.5777476
BHI-009,cod_SDs22_24,2019,175.4482838
BHI-010,cod_SDs22_24,2019,523.9091715
BHI-011,cod_SDs22_24,2019,642.7869773
BHI-012,cod_SDs22_24,2019,950.1798274
BHI-013,cod_SDs22_24,2019,1068.80453
BHI-014,cod_SDs22_24,2019,10.31334959
BHI-015,cod_SDs22_24,2019,211.0221082
BHI-016,cod_SDs22_24,2019,390.5310724
BHI-017,cod_SDs22_24,2019,400.2226774
BHI-001,cod_SDs22_24,2018,13.94960932
BHI-002,cod_SDs22_24,2018,10.268347
BHI-003,cod_SDs22_24,2018,883.9715832
BHI-005,cod_SDs22_24,2018,37.6879077
BHI-006,cod_SDs22_24,2018,38.56163215
BHI-007,cod_SDs22_24,2018,106.7561278
BHI-008,cod_SDs22_24,2018,183.1610912
BHI-009,cod_SDs22_24,2018,96.33526024
BHI-010,cod_SDs22_24,2018,287.6683959
BHI-011,cod_SDs22_24,2018,352.9419005
BHI-012,cod_SDs22_24,2018,521.7253708
BHI-013,cod_SDs22_24,2018,586.8599016
BHI-014,cod_SDs22_24,2018,5.662860845
BHI-015,cod_SDs22_24,2018,115.8681593
BHI-016,cod_SDs22_24,2018,214.4330607
BHI-017,cod_SDs22_24,2018,219.7545336
BHI-001,cod_SDs22_24,2017,15.1889886
BHI-002,cod_SDs22_24,2017,11.1806576
BHI-003,cod_SDs22_24,2017,962.5097012
BHI-005,cod_SDs22_24,2017,41.03636074
BHI-006,cod_SDs22_24,2017,41.98771289
BHI-007,cod_SDs22_24,2017,116.2410768
BHI-008,cod_SDs22_24,2017,199.4343829
BHI-009,cod_SDs22_24,2017,104.8943476
BHI-010,cod_SDs22_24,2017,313.2268356
BHI-011,cod_SDs22_24,2017,384.2996875
BHI-012,cod_SDs22_24,2017,568.0790427
BHI-013,cod_SDs22_24,2017,639.0005734
BHI-014,cod_SDs22_24,2017,6.165988368
BHI-015,cod_SDs22_24,2017,126.1626839
BHI-016,cod_SDs22_24,2017,233.4847693
BHI-017,cod_SDs22_24,2017,239.2790385
BHI-001,cod_SDs22_24,2016,23.60094583
BHI-002,cod_SDs22_24,2016,17.37272319
BHI-003,cod_SDs22_24,2016,1495.566289
BHI-005,cod_SDs22_24,2016,63.76309525
BHI-006,cod_SDs22_24,2016,65.24132471
BHI-007,cod_SDs22_24,2016,180.6176454
BHI-008,cod_SDs22_24,2016,309.885022
BHI-009,cod_SDs22_24,2016,162.986877
BHI-010,cod_SDs22_24,2016,486.6979477
BHI-011,cod_SDs22_24,2016,597.132327
BHI-012,cod_SDs22_24,2016,882.6922625
BHI-013,cod_SDs22_24,2016,992.8915159
BHI-014,cod_SDs22_24,2016,9.580832621
BHI-015,cod_SDs22_24,2016,196.0340314
BHI-016,cod_SDs22_24,2016,362.7931745
BHI-017,cod_SDs22_24,2016,371.7964226
BHI-001,cod_SDs22_24,2015,33.23344678
BHI-002,cod_SDs22_24,2015,24.46323447
BHI-003,cod_SDs22_24,2015,2105.967407
BHI-005,cod_SDs22_24,2015,89.78739446
BHI-006,cod_SDs22_24,2015,91.86894918
BHI-007,cod_SDs22_24,2015,254.3350147
BHI-008,cod_SDs22_24,2015,436.3616383
BHI-009,cod_SDs22_24,2015,229.5084164
BHI-010,cod_SDs22_24,2015,685.3390734
BHI-011,cod_SDs22_24,2015,840.8461913
BHI-012,cod_SDs22_24,2015,1242.954691
BHI-013,cod_SDs22_24,2015,1398.130719
BHI-014,cod_SDs22_24,2015,13.49115808
BHI-015,cod_SDs22_24,2015,276.0434517
BHI-016,cod_SDs22_24,2015,510.8637487
BHI-017,cod_SDs22_24,2015,523.5415866
BHI-001,cod_SDs22_24,2014,33.60262359
BHI-002,cod_SDs22_24,2014,24.73498656
BHI-003,cod_SDs22_24,2014,2129.36174
BHI-005,cod_SDs22_24,2014,90.78480601
BHI-006,cod_SDs22_24,2014,92.88948387
BHI-007,cod_SDs22_24,2014,257.1603187
BHI-008,cod_SDs22_24,2014,441.2090018
BHI-009,cod_SDs22_24,2014,232.0579318
BHI-010,cod_SDs22_24,2014,692.9522256
BHI-011,cod_SDs22_24,2014,850.1868087
BHI-012,cod_SDs22_24,2014,1256.762168
BHI-013,cod_SDs22_24,2014,1413.661983
BHI-014,cod_SDs22_24,2014,13.64102585
BHI-015,cod_SDs22_24,2014,279.1099059
BHI-016,cod_SDs22_24,2014,516.5387257
BHI-017,cod_SDs22_24,2014,529.3573966
