rgn_id,pressure_score,year
BHI-042,0.05,2019
BHI-041,0.03,2019
BHI-040,0,2019
BHI-039,0.13,2019
BHI-038,0.01,2019
BHI-037,0.01,2019
BHI-036,0.08,2019
BHI-035,0.04,2019
BHI-034,0.53,2019
BHI-033,NA,2019
BHI-032,0.07,2019
BHI-031,0.69,2019
BHI-030,0.07,2019
BHI-029,0.01,2019
BHI-028,0,2019
BHI-027,NA,2019
BHI-026,0.02,2019
BHI-025,0.12,2019
BHI-024,0.03,2019
BHI-023,NA,2019
BHI-022,NA,2019
BHI-021,0.18,2019
BHI-020,0.03,2019
BHI-019,NA,2019
BHI-018,0.05,2019
BHI-017,0.13,2019
BHI-016,0.04,2019
BHI-015,0.12,2019
BHI-014,0.08,2019
BHI-013,0.29,2019
BHI-012,0.64,2019
BHI-011,1,2019
BHI-010,0.05,2019
BHI-009,0.24,2019
BHI-008,0.09,2019
BHI-007,0.18,2019
BHI-006,0.45,2019
BHI-005,0.13,2019
BHI-004,NA,2019
BHI-003,0.39,2019
BHI-002,0.04,2019
BHI-001,0.18,2019
