region_id,year,oxydebt_pressure
BHI-042,2000,NA
BHI-042,2001,NA
BHI-042,2002,NA
BHI-042,2003,NA
BHI-042,2004,NA
BHI-042,2005,NA
BHI-042,2006,NA
BHI-042,2007,NA
BHI-042,2008,NA
BHI-042,2009,NA
BHI-042,2010,NA
BHI-042,2011,NA
BHI-042,2012,NA
BHI-042,2013,NA
BHI-042,2014,NA
BHI-042,2015,NA
BHI-042,2016,NA
BHI-042,2017,NA
BHI-042,2018,NA
BHI-042,2019,NA
BHI-041,2000,NA
BHI-041,2001,NA
BHI-041,2002,NA
BHI-041,2003,NA
BHI-041,2004,NA
BHI-041,2005,NA
BHI-041,2006,NA
BHI-041,2007,NA
BHI-041,2008,NA
BHI-041,2009,NA
BHI-041,2010,NA
BHI-041,2011,NA
BHI-041,2012,NA
BHI-041,2013,NA
BHI-041,2014,NA
BHI-041,2015,NA
BHI-041,2016,NA
BHI-041,2017,NA
BHI-041,2018,NA
BHI-041,2019,NA
BHI-040,2000,NA
BHI-040,2001,NA
BHI-040,2002,NA
BHI-040,2003,NA
BHI-040,2004,NA
BHI-040,2005,NA
BHI-040,2006,NA
BHI-040,2007,NA
BHI-040,2008,NA
BHI-040,2009,NA
BHI-040,2010,NA
BHI-040,2011,NA
BHI-040,2012,NA
BHI-040,2013,NA
BHI-040,2014,NA
BHI-040,2015,NA
BHI-040,2016,NA
BHI-040,2017,NA
BHI-040,2018,NA
BHI-040,2019,NA
BHI-039,2000,NA
BHI-039,2001,NA
BHI-039,2002,NA
BHI-039,2003,NA
BHI-039,2004,NA
BHI-039,2005,NA
BHI-039,2006,NA
BHI-039,2007,NA
BHI-039,2008,NA
BHI-039,2009,NA
BHI-039,2010,NA
BHI-039,2011,NA
BHI-039,2012,NA
BHI-039,2013,NA
BHI-039,2014,NA
BHI-039,2015,NA
BHI-039,2016,NA
BHI-039,2017,NA
BHI-039,2018,NA
BHI-039,2019,NA
BHI-038,2000,NA
BHI-038,2001,NA
BHI-038,2002,NA
BHI-038,2003,NA
BHI-038,2004,NA
BHI-038,2005,NA
BHI-038,2006,NA
BHI-038,2007,NA
BHI-038,2008,NA
BHI-038,2009,NA
BHI-038,2010,NA
BHI-038,2011,NA
BHI-038,2012,NA
BHI-038,2013,NA
BHI-038,2014,NA
BHI-038,2015,NA
BHI-038,2016,NA
BHI-038,2017,NA
BHI-038,2018,NA
BHI-038,2019,NA
BHI-037,2000,NA
BHI-037,2001,NA
BHI-037,2002,NA
BHI-037,2003,NA
BHI-037,2004,NA
BHI-037,2005,NA
BHI-037,2006,NA
BHI-037,2007,NA
BHI-037,2008,NA
BHI-037,2009,NA
BHI-037,2010,NA
BHI-037,2011,NA
BHI-037,2012,NA
BHI-037,2013,NA
BHI-037,2014,NA
BHI-037,2015,NA
BHI-037,2016,NA
BHI-037,2017,NA
BHI-037,2018,NA
BHI-037,2019,NA
BHI-036,2000,NA
BHI-036,2001,NA
BHI-036,2002,NA
BHI-036,2003,NA
BHI-036,2004,NA
BHI-036,2005,NA
BHI-036,2006,NA
BHI-036,2007,NA
BHI-036,2008,NA
BHI-036,2009,NA
BHI-036,2010,NA
BHI-036,2011,NA
BHI-036,2012,NA
BHI-036,2013,NA
BHI-036,2014,NA
BHI-036,2015,NA
BHI-036,2016,NA
BHI-036,2017,NA
BHI-036,2018,NA
BHI-036,2019,NA
BHI-035,2000,NA
BHI-035,2001,NA
BHI-035,2002,NA
BHI-035,2003,NA
BHI-035,2004,NA
BHI-035,2005,NA
BHI-035,2006,NA
BHI-035,2007,NA
BHI-035,2008,NA
BHI-035,2009,NA
BHI-035,2010,NA
BHI-035,2011,NA
BHI-035,2012,NA
BHI-035,2013,NA
BHI-035,2014,NA
BHI-035,2015,NA
BHI-035,2016,NA
BHI-035,2017,NA
BHI-035,2018,NA
BHI-035,2019,NA
BHI-034,2000,0.076021832
BHI-034,2001,0.259621772
BHI-034,2002,0.191887592
BHI-034,2003,0.293063364
BHI-034,2004,0.265269045
BHI-034,2005,0.180106948
BHI-034,2006,0.241682133
BHI-034,2007,0.256989732
BHI-034,2008,0.218299507
BHI-034,2009,0.260757677
BHI-034,2010,0.220483468
BHI-034,2011,0.295084344
BHI-034,2012,0.149064516
BHI-034,2013,0.275774805
BHI-034,2014,0.298118913
BHI-034,2015,0.243889017
BHI-034,2016,0.231622508
BHI-034,2017,0.269650286
BHI-034,2018,0.326124465
BHI-034,2019,0.282751224
BHI-033,2000,0.076021832
BHI-033,2001,0.259621772
BHI-033,2002,0.191887592
BHI-033,2003,0.293063364
BHI-033,2004,0.265269045
BHI-033,2005,0.180106948
BHI-033,2006,0.241682133
BHI-033,2007,0.256989732
BHI-033,2008,0.218299507
BHI-033,2009,0.260757677
BHI-033,2010,0.220483468
BHI-033,2011,0.295084344
BHI-033,2012,0.149064516
BHI-033,2013,0.275774805
BHI-033,2014,0.298118913
BHI-033,2015,0.243889017
BHI-033,2016,0.231622508
BHI-033,2017,0.269650286
BHI-033,2018,0.326124465
BHI-033,2019,0.282751224
BHI-032,2000,0.076021832
BHI-032,2001,0.259621772
BHI-032,2002,0.191887592
BHI-032,2003,0.293063364
BHI-032,2004,0.265269045
BHI-032,2005,0.180106948
BHI-032,2006,0.241682133
BHI-032,2007,0.256989732
BHI-032,2008,0.218299507
BHI-032,2009,0.260757677
BHI-032,2010,0.220483468
BHI-032,2011,0.295084344
BHI-032,2012,0.149064516
BHI-032,2013,0.275774805
BHI-032,2014,0.298118913
BHI-032,2015,0.243889017
BHI-032,2016,0.231622508
BHI-032,2017,0.269650286
BHI-032,2018,0.326124465
BHI-032,2019,0.282751224
BHI-031,2000,0.076021832
BHI-031,2001,0.259621772
BHI-031,2002,0.191887592
BHI-031,2003,0.293063364
BHI-031,2004,0.265269045
BHI-031,2005,0.180106948
BHI-031,2006,0.241682133
BHI-031,2007,0.256989732
BHI-031,2008,0.218299507
BHI-031,2009,0.260757677
BHI-031,2010,0.220483468
BHI-031,2011,0.295084344
BHI-031,2012,0.149064516
BHI-031,2013,0.275774805
BHI-031,2014,0.298118913
BHI-031,2015,0.243889017
BHI-031,2016,0.231622508
BHI-031,2017,0.269650286
BHI-031,2018,0.326124465
BHI-031,2019,0.282751224
BHI-030,2000,0.076021832
BHI-030,2001,0.259621772
BHI-030,2002,0.191887592
BHI-030,2003,0.293063364
BHI-030,2004,0.265269045
BHI-030,2005,0.180106948
BHI-030,2006,0.241682133
BHI-030,2007,0.256989732
BHI-030,2008,0.218299507
BHI-030,2009,0.260757677
