region_id,year,employ_pop
BHI-013,2007,69.12894736842105
BHI-008,2007,69.12894736842105
BHI-010,2007,69.12894736842105
BHI-016,2007,69.12894736842105
BHI-015,2007,76.72
BHI-002,2007,76.72
BHI-003,2007,76.72
BHI-006,2007,76.72
BHI-007,2007,76.72
BHI-009,2007,76.72
BHI-012,2007,76.72
BHI-025,2007,69.8
BHI-034,2007,69.8
BHI-028,2007,69.8
BHI-031,2007,69.8
BHI-042,2007,71.86
BHI-038,2007,71.86
BHI-040,2007,71.86
BHI-036,2007,71.86
BHI-043,2007,71.86
BHI-032,2007,71.86
BHI-023,2007,65
BHI-027,2007,68.1
BHI-024,2007,68.1
BHI-017,2007,57
BHI-018,2007,57
BHI-021,2007,57
BHI-011,2007,74.225
BHI-041,2007,74.225
BHI-037,2007,74.225
BHI-001,2007,74.225
BHI-029,2007,74.225
BHI-039,2007,74.225
BHI-035,2007,74.225
BHI-014,2007,74.225
BHI-005,2007,74.225
BHI-026,2007,74.225
BHI-020,2007,74.225
BHI-013,2008,70.33421052631579
BHI-008,2008,70.33421052631579
BHI-010,2008,70.33421052631579
BHI-016,2008,70.33421052631579
BHI-015,2008,76.08
BHI-002,2008,76.08
BHI-003,2008,76.08
BHI-006,2008,76.08
BHI-007,2008,76.08
BHI-009,2008,76.08
BHI-012,2008,76.08
BHI-025,2008,70.1
BHI-034,2008,70.1
BHI-028,2008,70.1
BHI-031,2008,70.1
BHI-042,2008,73.08
BHI-038,2008,73.08
BHI-040,2008,73.08
BHI-036,2008,73.08
BHI-043,2008,73.08
BHI-032,2008,73.08
BHI-023,2008,64.4
BHI-027,2008,68.2
BHI-024,2008,68.2
BHI-017,2008,59.2
BHI-018,2008,59.2
BHI-021,2008,59.2
BHI-011,2008,73.9
BHI-041,2008,73.9
BHI-037,2008,73.9
BHI-001,2008,73.9
BHI-029,2008,73.9
BHI-039,2008,73.9
BHI-035,2008,73.9
BHI-014,2008,73.9
BHI-005,2008,73.9
BHI-026,2008,73.9
BHI-020,2008,73.9
BHI-013,2009,70.49736842105263
BHI-008,2009,70.49736842105263
BHI-010,2009,70.49736842105263
BHI-016,2009,70.49736842105263
BHI-015,2009,73.34
BHI-002,2009,73.34
BHI-003,2009,73.34
BHI-006,2009,73.34
BHI-007,2009,73.34
BHI-009,2009,73.34
BHI-012,2009,73.34
BHI-025,2009,63.8
BHI-034,2009,63.8
BHI-028,2009,63.8
BHI-031,2009,63.8
BHI-042,2009,70.22
BHI-038,2009,70.22
BHI-040,2009,70.22
BHI-036,2009,70.22
BHI-043,2009,70.22
BHI-032,2009,70.22
BHI-023,2009,59.9
BHI-027,2009,60.3
BHI-024,2009,60.3
BHI-017,2009,59.3
BHI-018,2009,59.3
BHI-021,2009,59.3
BHI-011,2009,71.65
BHI-041,2009,71.65
BHI-037,2009,71.65
BHI-001,2009,71.65
BHI-029,2009,71.65
BHI-039,2009,71.65
BHI-035,2009,71.65
BHI-014,2009,71.65
BHI-005,2009,71.65
BHI-026,2009,71.65
BHI-020,2009,71.65
BHI-013,2010,71.52894736842106
BHI-008,2010,71.52894736842106
BHI-010,2010,71.52894736842106
BHI-016,2010,71.52894736842106
BHI-015,2010,71.56
BHI-002,2010,71.56
BHI-003,2010,71.56
BHI-006,2010,71.56
BHI-007,2010,71.56
BHI-009,2010,71.56
BHI-012,2010,71.56
BHI-025,2010,61.2
BHI-034,2010,61.2
BHI-028,2010,61.2
BHI-031,2010,61.2
BHI-042,2010,69.78
BHI-038,2010,69.78
BHI-040,2010,69.78
BHI-036,2010,69.78
BHI-043,2010,69.78
BHI-032,2010,69.78
BHI-023,2010,57.6
BHI-027,2010,58.5
BHI-024,2010,58.5
BHI-017,2010,58.9
BHI-018,2010,58.9
BHI-021,2010,58.9
BHI-011,2010,71.45
BHI-041,2010,71.45
BHI-037,2010,71.45
BHI-001,2010,71.45
BHI-029,2010,71.45
BHI-039,2010,71.45
BHI-035,2010,71.45
BHI-014,2010,71.45
BHI-005,2010,71.45
BHI-026,2010,71.45
BHI-020,2010,71.45
BHI-013,2011,72.96842105263158
BHI-008,2011,72.96842105263158
BHI-010,2011,72.96842105263158
BHI-016,2011,72.96842105263158
BHI-015,2011,71.28
BHI-002,2011,71.28
BHI-003,2011,71.28
BHI-006,2011,71.28
BHI-007,2011,71.28
BHI-009,2011,71.28
BHI-012,2011,71.28
BHI-025,2011,65.3
BHI-034,2011,65.3
BHI-028,2011,65.3
BHI-031,2011,65.3
BHI-042,2011,70.56
BHI-038,2011,70.56
BHI-040,2011,70.56
BHI-036,2011,70.56
BHI-043,2011,70.56
BHI-032,2011,70.56
BHI-023,2011,60.2
BHI-027,2011,60.8
BHI-024,2011,60.8
BHI-017,2011,59.3
BHI-018,2011,59.3
BHI-021,2011,59.3
BHI-011,2011,73.15
BHI-041,2011,73.15
BHI-037,2011,73.15
BHI-001,2011,73.15
BHI-029,2011,73.15
BHI-039,2011,73.15
BHI-035,2011,73.15
BHI-014,2011,73.15
BHI-005,2011,73.15
