bhi_id,pressure_score,year
BHI-043,0.095310866,1990
BHI-043,0.085498271,1991
BHI-043,0.09917156,1992
BHI-043,0.077776884,1993
BHI-043,0.076087831,1994
BHI-043,0.075363951,1995
BHI-043,0.069251186,1996
BHI-043,0.061449369,1997
BHI-043,0.084533097,1998
BHI-043,0.06949248,1999
BHI-043,0.067964289,2000
BHI-043,0.067642564,2001
BHI-043,0.043674093,2002
BHI-043,0.047213062,2003
BHI-043,0.049304271,2004
BHI-043,0.053486689,2005
BHI-043,0.058553849,2006
BHI-043,0.054291,2007
BHI-043,0.05935816,2008
BHI-043,0.043271938,2009
BHI-043,0.052038929,2010
BHI-043,0.052601946,2011
BHI-043,0.054291,2012
BHI-043,0.045443578,2013
BHI-043,0.054210569,2014
BHI-043,0.047936942,2015
BHI-043,0.043111075,2016
BHI-043,0.044639266,2017
BHI-043,0.037159173,2018
BHI-042,0.124426928,1990
BHI-042,0.109466742,1991
BHI-042,0.136169871,1992
BHI-042,0.123863911,1993
BHI-042,0.100941044,1994
BHI-042,0.09844768,1995
BHI-042,0.093943537,1996
BHI-042,0.089600257,1997
BHI-042,0.129815813,1998
BHI-042,0.106088635,1999
BHI-042,0.117268559,2000
BHI-042,0.105364755,2001
BHI-042,0.082441889,2002
BHI-042,0.092334915,2003
BHI-042,0.095793453,2004
BHI-042,0.097321644,2005
BHI-042,0.102308373,2006
BHI-042,0.100297595,2007
BHI-042,0.10351484,2008
BHI-042,0.075605244,2009
BHI-042,0.092817502,2010
BHI-042,0.099251991,2011
BHI-042,0.093541382,2012
BHI-042,0.079305075,2013
BHI-042,0.08252232,2014
BHI-042,0.086704737,2015
BHI-042,0.090806724,2016
BHI-042,0.085498271,2017
BHI-042,0.077937746,2018
BHI-041,0.124426928,1990
BHI-041,0.109466742,1991
BHI-041,0.136169871,1992
BHI-041,0.123863911,1993
BHI-041,0.100941044,1994
BHI-041,0.09844768,1995
BHI-041,0.093943537,1996
BHI-041,0.089600257,1997
BHI-041,0.129815813,1998
BHI-041,0.106088635,1999
BHI-041,0.117268559,2000
BHI-041,0.105364755,2001
BHI-041,0.082441889,2002
BHI-041,0.092334915,2003
BHI-041,0.095793453,2004
BHI-041,0.097321644,2005
BHI-041,0.102308373,2006
BHI-041,0.100297595,2007
