bhi_id,pressure_score,year
BHI-043,0.021207864,2021
BHI-042,0.005592788,2021
BHI-041,0.004932915,2021
BHI-040,0.009187364,2021
BHI-039,0.007277529,2021
BHI-038,0.004183973,2021
BHI-037,0.004885051,2021
BHI-036,0.011549323,2021
BHI-035,0.011315417,2021
BHI-034,0.016745293,2021
BHI-033,0.06534081,2021
BHI-032,0.022003144,2021
BHI-031,0.00760889,2021
BHI-030,0.004689839,2021
BHI-029,0.008127838,2021
BHI-028,0.01635707,2021
BHI-027,0.013965877,2021
BHI-026,0.010158219,2021
BHI-025,0.006600934,2021
BHI-024,0.008356113,2021
BHI-023,0.017292216,2021
BHI-022,0.022825383,2021
BHI-021,0.008135089,2021
BHI-020,0.006897294,2021
BHI-019,0.051157549,2021
BHI-018,0.031626479,2021
BHI-017,0.013896316,2021
BHI-016,0.013445266,2021
BHI-015,0.009100317,2021
BHI-014,0.01030037,2021
BHI-013,0.015173317,2021
BHI-012,0.024085648,2021
BHI-011,0.028760013,2021
BHI-010,0.020462336,2021
BHI-009,0.030646789,2021
BHI-008,0.021875509,2021
BHI-007,0.022544998,2021
BHI-006,0.072921142,2021
BHI-005,0.074750377,2021
BHI-003,0.055285858,2021
BHI-002,0.02072239,2021
BHI-001,0.020526197,2021
