bhi_id,year,pressure_score
BHI-042,1999,0.025703741
BHI-042,2000,0.134656943
BHI-042,2001,0.163406943
BHI-042,2002,0.182085104
BHI-042,2003,0.17743951
BHI-042,2004,0.154125616
BHI-042,2005,0.05
BHI-042,2006,0.030972906
BHI-042,2007,0.02522578
BHI-042,2008,0.034852217
BHI-042,2009,0.011576355
BHI-042,2010,0.005110837
BHI-042,2011,0.027011494
BHI-042,2012,0.062931034
BHI-042,2013,0.075574713
BHI-042,2014,0.125
BHI-042,2015,0.20210728
BHI-042,2016,0.208778051
BHI-042,2017,0.184455391
BHI-042,2018,0.19235769
BHI-042,2019,0.185681787
BHI-042,2020,0.12322968
BHI-041,1999,0.025703741
BHI-041,2000,0.134656943
BHI-041,2001,0.163406943
BHI-041,2002,0.182085104
BHI-041,2003,0.17743951
BHI-041,2004,0.154125616
BHI-041,2005,0.05
BHI-041,2006,0.030972906
BHI-041,2007,0.02522578
BHI-041,2008,0.034852217
BHI-041,2009,0.011576355
BHI-041,2010,0.005110837
BHI-041,2011,0.027011494
BHI-041,2012,0.062931034
BHI-041,2013,0.075574713
BHI-041,2014,0.125
BHI-041,2015,0.20210728
BHI-041,2016,0.208778051
BHI-041,2017,0.184455391
BHI-041,2018,0.19235769
BHI-041,2019,0.185681787
BHI-041,2020,0.12322968
BHI-040,2001,0.1
BHI-040,2003,0.016666667
BHI-040,2004,0.033333333
BHI-040,2005,0.011111111
BHI-040,2006,0.002777778
BHI-040,2007,0
BHI-040,2008,0.008333333
BHI-040,2009,0
BHI-040,2010,0
BHI-040,2011,0.018055556
BHI-040,2012,0.0375
BHI-040,2013,0.031944444
BHI-040,2014,0.065277778
BHI-040,2015,0.094444444
BHI-040,2016,0.083333333
BHI-040,2017,0.147222222
BHI-040,2019,0.113888889
BHI-040,2020,0.126388889
BHI-039,2001,0.1
BHI-039,2003,0.016666667
BHI-039,2004,0.033333333
BHI-039,2005,0.011111111
BHI-039,2006,0.002777778
BHI-039,2007,0
BHI-039,2008,0.008333333
BHI-039,2009,0
BHI-039,2010,0
BHI-039,2011,0.018055556
BHI-039,2012,0.0375
BHI-039,2013,0.031944444
BHI-039,2014,0.065277778
BHI-039,2015,0.094444444
BHI-039,2016,0.083333333
BHI-039,2017,0.147222222
BHI-039,2019,0.113888889
BHI-039,2020,0.126388889
BHI-038,1999,0.281740196
BHI-038,2000,0.316339869
BHI-038,2001,0.255065359
BHI-038,2002,0.274419935
BHI-038,2003,0.211593137
BHI-038,2004,0.223395191
BHI-038,2005,0.152406315
BHI-038,2006,0.150795671
BHI-038,2007,0.100487441
BHI-038,2008,0.109414262
BHI-038,2009,0.116417063
BHI-038,2010,0.103507161
BHI-038,2011,0.126032838
BHI-038,2012,0.177308621
BHI-038,2013,0.203127365
BHI-038,2014,0.19061546
BHI-038,2015,0.232038268
BHI-038,2016,0.246822561
BHI-038,2017,0.217922001
BHI-038,2018,0.198642122
BHI-038,2019,0.196307505
BHI-038,2020,0.166898824
BHI-037,1999,0.281740196
BHI-037,2000,0.316339869
BHI-037,2001,0.255065359
BHI-037,2002,0.274419935
BHI-037,2003,0.211593137
BHI-037,2004,0.223395191
BHI-037,2005,0.152406315
BHI-037,2006,0.150795671
BHI-037,2007,0.100487441
BHI-037,2008,0.109414262
BHI-037,2009,0.116417063
BHI-037,2010,0.103507161
BHI-037,2011,0.126032838
BHI-037,2012,0.177308621
BHI-037,2013,0.203127365
BHI-037,2014,0.19061546
BHI-037,2015,0.232038268
BHI-037,2016,0.246822561
BHI-037,2017,0.217922001
BHI-037,2018,0.198642122
BHI-037,2019,0.196307505
BHI-037,2020,0.166898824
