region_id,year,pressure_score
BHI-042,1997,0
BHI-042,1998,0.07
BHI-042,1999,0.22
BHI-042,2000,0.63
BHI-042,2001,0.44
BHI-042,2002,0.25
BHI-042,2003,0
BHI-042,2004,0
BHI-042,2005,0.08
BHI-042,2006,0.28
BHI-042,2007,0.3
BHI-042,2008,0.31
BHI-042,2009,0.12
BHI-042,2010,0
BHI-042,2011,0
BHI-042,2012,0.32
BHI-042,2013,0.31
BHI-042,2014,0.17
BHI-042,2015,0.12
BHI-042,2016,0.23
BHI-042,2017,0.3
BHI-041,1997,0
BHI-041,1998,0.07
BHI-041,1999,0.22
BHI-041,2000,0.63
BHI-041,2001,0.44
BHI-041,2002,0.25
BHI-041,2003,0
BHI-041,2004,0
BHI-041,2005,0.08
BHI-041,2006,0.28
BHI-041,2007,0.3
BHI-041,2008,0.31
BHI-041,2009,0.12
BHI-041,2010,0
BHI-041,2011,0
BHI-041,2012,0.32
BHI-041,2013,0.31
BHI-041,2014,0.17
BHI-041,2015,0.12
BHI-041,2016,0.23
BHI-041,2017,0.3
BHI-040,1997,0
BHI-040,1998,0.07
BHI-040,1999,0.22
BHI-040,2000,0.63
BHI-040,2001,0.44
BHI-040,2002,0.25
BHI-040,2003,0
BHI-040,2004,0
BHI-040,2005,0.08
BHI-040,2006,0.28
BHI-040,2007,0.3
BHI-040,2008,0.31
BHI-040,2009,0.12
BHI-040,2010,0
BHI-040,2011,0
BHI-040,2012,0.32
BHI-040,2013,0.31
BHI-040,2014,0.17
BHI-040,2015,0.12
BHI-040,2016,0.23
BHI-040,2017,0.3
BHI-039,1997,0
BHI-039,1998,0.07
BHI-039,1999,0.22
BHI-039,2000,0.63
BHI-039,2001,0.44
BHI-039,2002,0.25
BHI-039,2003,0
BHI-039,2004,0
BHI-039,2005,0.08
BHI-039,2006,0.28
BHI-039,2007,0.3
BHI-039,2008,0.31
BHI-039,2009,0.12
BHI-039,2010,0
BHI-039,2011,0
BHI-039,2012,0.32
BHI-039,2013,0.31
BHI-039,2014,0.17
BHI-039,2015,0.12
BHI-039,2016,0.23
BHI-039,2017,0.3
BHI-038,1997,0.04
