rgn_id,resilience_score,year
BHI-001,0.9375,2014
BHI-002,0.9375,2014
BHI-003,0.9375,2014
BHI-004,0.9375,2014
BHI-005,0.9375,2014
BHI-006,0.9375,2014
BHI-007,0.9375,2014
BHI-008,0.9375,2014
BHI-009,0.9375,2014
BHI-010,0.9375,2014
BHI-011,0.9375,2014
BHI-012,0.9375,2014
BHI-013,0.9375,2014
BHI-014,0.9375,2014
BHI-015,0.9375,2014
BHI-016,0.9375,2014
BHI-017,0.9375,2014
BHI-018,0.9375,2014
BHI-019,NA,2014
BHI-020,0.9375,2014
BHI-021,0.9375,2014
BHI-022,NA,2014
BHI-023,0.9375,2014
BHI-024,0.9375,2014
BHI-025,1,2014
BHI-026,0.9375,2014
BHI-027,0.9375,2014
BHI-028,1,2014
BHI-029,0.9375,2014
BHI-030,0.9375,2014
BHI-031,1,2014
BHI-032,0.9375,2014
BHI-033,NA,2014
BHI-034,1,2014
BHI-035,0.9375,2014
BHI-036,0.9375,2014
BHI-037,0.9375,2014
BHI-038,0.9375,2014
BHI-039,0.9375,2014
BHI-040,0.9375,2014
BHI-041,0.9375,2014
BHI-042,0.9375,2014
