rgn_id,resilience_score,year
BHI-001,1,2014
BHI-002,1,2014
BHI-003,1,2014
BHI-004,1,2014
BHI-005,1,2014
BHI-006,1,2014
BHI-007,1,2014
BHI-008,1,2014
BHI-009,1,2014
BHI-010,1,2014
BHI-011,1,2014
BHI-012,1,2014
BHI-013,1,2014
BHI-014,1,2014
BHI-015,1,2014
BHI-016,1,2014
BHI-017,1,2014
BHI-018,1,2014
BHI-019,NA,2014
BHI-020,1,2014
BHI-021,1,2014
BHI-022,NA,2014
BHI-023,1,2014
BHI-024,1,2014
BHI-025,1,2014
BHI-026,1,2014
BHI-027,1,2014
BHI-028,1,2014
BHI-029,1,2014
BHI-030,1,2014
BHI-031,1,2014
BHI-032,1,2014
BHI-033,NA,2014
BHI-034,1,2014
BHI-035,1,2014
BHI-036,1,2014
BHI-037,1,2014
BHI-038,1,2014
BHI-039,1,2014
BHI-040,1,2014
BHI-041,1,2014
BHI-042,1,2014
