rgn_id,resilience_score,year
BHI-001,0.821428571,2014
BHI-002,0.788461538,2014
BHI-003,0.788461538,2014
BHI-004,0.857142857,2014
BHI-005,0.821428571,2014
BHI-006,0.788461538,2014
BHI-007,0.788461538,2014
BHI-008,0.857142857,2014
BHI-009,0.788461538,2014
BHI-010,0.857142857,2014
BHI-011,0.821428571,2014
BHI-012,0.788461538,2014
BHI-013,0.857142857,2014
BHI-014,0.821428571,2014
BHI-015,0.788461538,2014
BHI-016,0.857142857,2014
BHI-017,0.884615385,2014
BHI-018,0.884615385,2014
BHI-019,NA,2014
BHI-020,0.821428571,2014
BHI-021,0.884615385,2014
BHI-022,NA,2014
BHI-023,0.788461538,2014
BHI-024,0.788461538,2014
BHI-025,0.75,2014
BHI-026,0.821428571,2014
BHI-027,0.788461538,2014
BHI-028,0.75,2014
BHI-029,0.821428571,2014
BHI-030,0.846153846,2014
BHI-031,0.75,2014
BHI-032,0.846153846,2014
BHI-033,NA,2014
BHI-034,0.75,2014
BHI-035,0.821428571,2014
BHI-036,0.846153846,2014
BHI-037,0.821428571,2014
BHI-038,0.846153846,2014
BHI-039,0.821428571,2014
BHI-040,0.846153846,2014
BHI-041,0.821428571,2014
BHI-042,0.846153846,2014
