"region_id","assessment_year_red_list","scientific_name","common_name","species_group","red_list_category"
1,2007,"Gadus morhua","Cod","Fish and Lamprey","EN - Endangered"
1,2013,"Gadus morhua","Cod","Fish and Lamprey","VU - Vulnerable"
1,2013,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
1,2007,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
1,2007,"Clupea harengus","Herring","Fish and Lamprey","EN - Endangered"
1,2013,"Clupea harengus","Herring","Fish and Lamprey","LC - Least Concern"
1,2013,"Sprattus sprattus","Sprat","Fish and Lamprey","LC - Least Concern"
1,2013,"Halichoerus grypus","grey seal / gray seal","Mammals","LC - Least Concern"
1,2013,"Lutra lutra","European otter / Euraisan otter","Mammals","NT - Near Threatened"
1,2013,"Phoca vitulina vitulina","harbour seal / common seal","Mammals","LC - Least Concern"
1,2013,"Phocoena phocoena (Baltic Sea Sub-population)","harbour porpoise","Mammals","CR - Critically Endangered"
1,2013,"Phocoena phocoena (Western Baltic Sea subpopulation)","harbour porpoise","Mammals","VU - Vulnerable"
1,2013,"Clangula hyemalis","Long-tailed duck","Birds","EN - Endangered"
1,2013,"Sterna hirundo","Common tern","Birds","LC - Least Concern"
1,2013,"Larus canus","Common gull","Birds","LC - Least Concern"
1,2013,"Gavia stellata","Red-throated diver","Birds","CR - Critically Endangered"
1,2013,"Gavia arctica","Black-throated diver","Birds","CR - Critically Endangered"
1,2013,"Cygnus olor","Mute swan","Birds","LC - Least Concern"
1,2013,"Mergus merganser","Common merganser","Birds","LC - Least Concern"
1,2013,"Nephrops norvegicus","Dublin Bay lobster","Benthic Invertebrates","LC - Least Concern"
1,2013,"Carcinus maenas","Common shore crab","Benthic Invertebrates","LC - Least Concern"
1,2013,"Mytilus edulis","Blue mussel","Benthic Invertebrates","LC - Least Concern"
1,2013,"Furcellaria lumbricalis","Red seaweed","Macrophytes","LC - Least Concern"
1,2013,"Fucus vesiculosus","Bladder wrack","Macrophytes","LC - Least Concern"
1,2013,"Zostera marina","Eelgrass/Sea grass","Macrophytes","LC - Least Concern"
1,2013,"Haliaeetus albicilla","sea eagle","Birds","LC - Least Concern"
1,2013,"Somateria mollissima","common eider","Birds","VU - Vulnerable"
2,2007,"Gadus morhua","Cod","Fish and Lamprey","EN - Endangered"
2,2013,"Gadus morhua","Cod","Fish and Lamprey","VU - Vulnerable"
2,2013,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
2,2007,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
2,2007,"Clupea harengus","Herring","Fish and Lamprey","EN - Endangered"
2,2013,"Clupea harengus","Herring","Fish and Lamprey","LC - Least Concern"
2,2013,"Sprattus sprattus","Sprat","Fish and Lamprey","LC - Least Concern"
2,2013,"Halichoerus grypus","grey seal / gray seal","Mammals","LC - Least Concern"
2,2013,"Lutra lutra","European otter / Euraisan otter","Mammals","NT - Near Threatened"
2,2013,"Phoca vitulina vitulina","harbour seal / common seal","Mammals","LC - Least Concern"
2,2013,"Phocoena phocoena (Baltic Sea Sub-population)","harbour porpoise","Mammals","CR - Critically Endangered"
2,2013,"Phocoena phocoena (Western Baltic Sea subpopulation)","harbour porpoise","Mammals","VU - Vulnerable"
2,2013,"Clangula hyemalis","Long-tailed duck","Birds","EN - Endangered"
2,2013,"Sterna hirundo","Common tern","Birds","LC - Least Concern"
2,2013,"Larus canus","Common gull","Birds","LC - Least Concern"
2,2013,"Gavia stellata","Red-throated diver","Birds","CR - Critically Endangered"
2,2013,"Gavia arctica","Black-throated diver","Birds","CR - Critically Endangered"
2,2013,"Cygnus olor","Mute swan","Birds","LC - Least Concern"
2,2013,"Mergus merganser","Common merganser","Birds","LC - Least Concern"
2,2013,"Nephrops norvegicus","Dublin Bay lobster","Benthic Invertebrates","LC - Least Concern"
2,2013,"Carcinus maenas","Common shore crab","Benthic Invertebrates","LC - Least Concern"
2,2013,"Mytilus edulis","Blue mussel","Benthic Invertebrates","LC - Least Concern"
2,2013,"Furcellaria lumbricalis","Red seaweed","Macrophytes","LC - Least Concern"
2,2013,"Fucus vesiculosus","Bladder wrack","Macrophytes","LC - Least Concern"
2,2013,"Zostera marina","Eelgrass/Sea grass","Macrophytes","LC - Least Concern"
2,2013,"Haliaeetus albicilla","sea eagle","Birds","LC - Least Concern"
2,2013,"Somateria mollissima","common eider","Birds","VU - Vulnerable"
3,2007,"Gadus morhua","Cod","Fish and Lamprey","EN - Endangered"
3,2013,"Gadus morhua","Cod","Fish and Lamprey","VU - Vulnerable"
3,2013,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
3,2007,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
3,2007,"Clupea harengus","Herring","Fish and Lamprey","EN - Endangered"
3,2013,"Clupea harengus","Herring","Fish and Lamprey","LC - Least Concern"
3,2013,"Sprattus sprattus","Sprat","Fish and Lamprey","LC - Least Concern"
3,2013,"Halichoerus grypus","grey seal / gray seal","Mammals","LC - Least Concern"
3,2013,"Lutra lutra","European otter / Euraisan otter","Mammals","NT - Near Threatened"
3,2013,"Phoca vitulina vitulina","harbour seal / common seal","Mammals","LC - Least Concern"
3,2013,"Phocoena phocoena (Baltic Sea Sub-population)","harbour porpoise","Mammals","CR - Critically Endangered"
3,2013,"Phocoena phocoena (Western Baltic Sea subpopulation)","harbour porpoise","Mammals","VU - Vulnerable"
3,2013,"Nephrops norvegicus","Dublin Bay lobster","Benthic Invertebrates","LC - Least Concern"
3,2013,"Carcinus maenas","Common shore crab","Benthic Invertebrates","LC - Least Concern"
3,2013,"Mytilus edulis","Blue mussel","Benthic Invertebrates","LC - Least Concern"
3,2013,"Fucus vesiculosus","Bladder wrack","Macrophytes","LC - Least Concern"
3,2013,"Zostera marina","Eelgrass/Sea grass","Macrophytes","LC - Least Concern"
3,2013,"Haliaeetus albicilla","sea eagle","Birds","LC - Least Concern"
3,2013,"Somateria mollissima","common eider","Birds","VU - Vulnerable"
4,2007,"Gadus morhua","Cod","Fish and Lamprey","EN - Endangered"
4,2013,"Gadus morhua","Cod","Fish and Lamprey","VU - Vulnerable"
4,2013,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
4,2007,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
4,2007,"Clupea harengus","Herring","Fish and Lamprey","EN - Endangered"
4,2013,"Clupea harengus","Herring","Fish and Lamprey","LC - Least Concern"
4,2013,"Sprattus sprattus","Sprat","Fish and Lamprey","LC - Least Concern"
4,2013,"Halichoerus grypus","grey seal / gray seal","Mammals","LC - Least Concern"
4,2013,"Lutra lutra","European otter / Euraisan otter","Mammals","NT - Near Threatened"
4,2013,"Phoca vitulina vitulina","harbour seal / common seal","Mammals","LC - Least Concern"
4,2013,"Phocoena phocoena (Baltic Sea Sub-population)","harbour porpoise","Mammals","CR - Critically Endangered"
4,2013,"Phocoena phocoena (Western Baltic Sea subpopulation)","harbour porpoise","Mammals","VU - Vulnerable"
4,2013,"Nephrops norvegicus","Dublin Bay lobster","Benthic Invertebrates","LC - Least Concern"
4,2013,"Carcinus maenas","Common shore crab","Benthic Invertebrates","LC - Least Concern"
4,2013,"Mytilus edulis","Blue mussel","Benthic Invertebrates","LC - Least Concern"
4,2013,"Fucus vesiculosus","Bladder wrack","Macrophytes","LC - Least Concern"
4,2013,"Zostera marina","Eelgrass/Sea grass","Macrophytes","LC - Least Concern"
4,2013,"Haliaeetus albicilla","sea eagle","Birds","LC - Least Concern"
4,2013,"Somateria mollissima","common eider","Birds","VU - Vulnerable"
5,2007,"Gadus morhua","Cod","Fish and Lamprey","EN - Endangered"
5,2013,"Gadus morhua","Cod","Fish and Lamprey","VU - Vulnerable"
5,2013,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
5,2007,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
5,2007,"Clupea harengus","Herring","Fish and Lamprey","EN - Endangered"
5,2013,"Clupea harengus","Herring","Fish and Lamprey","LC - Least Concern"
5,2013,"Sprattus sprattus","Sprat","Fish and Lamprey","LC - Least Concern"
