region_id,goal,dimension,score
BHI-002,AO,status,48.33
BHI-003,AO,status,50
BHI-006,AO,status,63.33
BHI-009,AO,status,63.33
BHI-012,AO,status,41.67
BHI-014,AO,status,83.33
BHI-023,AO,status,100
BHI-024,AO,status,83.33
BHI-026,AO,status,73.33
BHI-027,AO,status,100
BHI-028,AO,status,63.33
BHI-029,AO,status,83.33
BHI-032,AO,status,41.67
BHI-035,AO,status,63.33
BHI-037,AO,status,80
BHI-038,AO,status,83.33
BHI-039,AO,status,51.67
BHI-040,AO,status,83.33
BHI-041,AO,status,100
BHI-042,AO,status,100
BHI-043,AO,status,76.67
BHI-001,AO,status,NA
BHI-005,AO,status,NA
BHI-007,AO,status,NA
BHI-008,AO,status,NA
BHI-010,AO,status,NA
BHI-011,AO,status,NA
BHI-013,AO,status,NA
BHI-015,AO,status,NA
BHI-016,AO,status,NA
BHI-017,AO,status,NA
BHI-018,AO,status,NA
BHI-019,AO,status,NA
BHI-020,AO,status,NA
BHI-021,AO,status,NA
BHI-022,AO,status,NA
BHI-025,AO,status,NA
BHI-030,AO,status,NA
BHI-031,AO,status,NA
BHI-033,AO,status,NA
BHI-034,AO,status,NA
BHI-036,AO,status,NA
BHI-001,AO,trend,0.27
BHI-002,AO,trend,-0.04
BHI-003,AO,trend,-0.05
BHI-005,AO,trend,0.14
BHI-006,AO,trend,0.07
BHI-012,AO,trend,-0.01
BHI-014,AO,trend,0.12
BHI-015,AO,trend,-0.02
BHI-016,AO,trend,-0.26
BHI-017,AO,trend,-0.02
BHI-018,AO,trend,-0.06
BHI-023,AO,trend,0.03
BHI-024,AO,trend,-0.23
BHI-026,AO,trend,0.04
BHI-027,AO,trend,-0.22
BHI-028,AO,trend,-0.05
BHI-029,AO,trend,-0.05
BHI-032,AO,trend,0.03
BHI-035,AO,trend,0.15
BHI-036,AO,trend,0.1
BHI-037,AO,trend,-0.01
BHI-038,AO,trend,0.11
BHI-039,AO,trend,0.02
BHI-040,AO,trend,0.11
BHI-041,AO,trend,0.05
BHI-042,AO,trend,0.04
