region_id,goal,dimension,score
BHI-001,CON,status,61.551
BHI-002,CON,status,53.735
BHI-001,CON,trend,0.328
BHI-002,CON,trend,0.328
BHI-003,CON,status,25.7
BHI-003,CON,trend,-1
BHI-005,CON,status,3.8739999999999997
BHI-006,CON,status,7.449999999999999
BHI-005,CON,trend,NA
BHI-006,CON,trend,NA
BHI-007,CON,status,8.554
BHI-008,CON,status,9.541
BHI-007,CON,trend,-1
BHI-008,CON,trend,-1
BHI-009,CON,status,5.96
BHI-010,CON,status,45.44499999999999
BHI-009,CON,trend,1
BHI-010,CON,trend,1
BHI-011,CON,status,53.012
BHI-012,CON,status,53.012
BHI-013,CON,status,50.27
BHI-011,CON,trend,0.03
BHI-012,CON,trend,0.03
BHI-013,CON,trend,0.03
BHI-014,CON,status,48.25599999999999
BHI-015,CON,status,14.975999999999997
BHI-016,CON,status,50.751999999999995
BHI-017,CON,status,19.968
BHI-014,CON,trend,-0.318
BHI-015,CON,trend,-0.318
BHI-016,CON,trend,-0.318
BHI-017,CON,trend,-0.318
BHI-018,CON,status,4.584
BHI-019,CON,status,1.528
BHI-018,CON,trend,NA
BHI-019,CON,trend,NA
BHI-020,CON,status,42.845000000000006
BHI-021,CON,status,18.695999999999998
BHI-022,CON,status,6.232
BHI-023,CON,status,35.055
BHI-024,CON,status,6.232
BHI-025,CON,status,6.232
BHI-020,CON,trend,-0.273
BHI-021,CON,trend,-0.273
BHI-022,CON,trend,-0.273
BHI-023,CON,trend,-0.273
BHI-024,CON,trend,-0.273
BHI-025,CON,trend,-0.273
BHI-026,CON,status,55.44
BHI-026,CON,trend,0.077
BHI-027,CON,status,7.224
BHI-028,CON,status,45.15
BHI-027,CON,trend,NA
BHI-028,CON,trend,NA
BHI-029,CON,status,51.62
BHI-030,CON,status,34.71
BHI-031,CON,status,28.48
BHI-029,CON,trend,0.032
BHI-030,CON,trend,0.032
BHI-031,CON,trend,0.032
BHI-032,CON,status,52.337999999999994
BHI-033,CON,status,6.864000000000001
BHI-034,CON,status,47.190000000000005
BHI-032,CON,trend,-0.014
BHI-033,CON,trend,-0.014
BHI-034,CON,trend,-0.014
BHI-035,CON,status,51.910000000000004
BHI-036,CON,status,37.59
BHI-035,CON,trend,-0.002
BHI-036,CON,trend,-0.002
BHI-037,CON,status,51.33
BHI-038,CON,status,55.754999999999995
BHI-037,CON,trend,-0.02
BHI-038,CON,trend,-0.02
BHI-039,CON,status,34
BHI-040,CON,status,39
BHI-039,CON,trend,-0.07
BHI-040,CON,trend,-0.07
BHI-041,CON,status,51.562
BHI-042,CON,status,34.671
BHI-041,CON,trend,0.009
BHI-042,CON,trend,0.009
BHI-043,CON,status,NA
BHI-043,CON,trend,NA
BHI-004,CON,status,NA
