region_id,score,dimension,goal
BHI-001,100,status,ECO
BHI-002,16.072843362405415,status,ECO
BHI-003,16.072843362405415,status,ECO
BHI-005,100,status,ECO
BHI-006,16.072843362405415,status,ECO
BHI-007,16.072843362405415,status,ECO
BHI-008,43.40271920650451,status,ECO
BHI-009,16.072843362405415,status,ECO
BHI-010,43.40271920650451,status,ECO
BHI-011,100,status,ECO
BHI-012,16.072843362405415,status,ECO
BHI-013,43.40271920650451,status,ECO
BHI-014,100,status,ECO
BHI-015,16.072843362405415,status,ECO
BHI-016,43.40271920650451,status,ECO
BHI-017,53.70078740157481,status,ECO
BHI-018,53.70078740157481,status,ECO
BHI-020,100,status,ECO
BHI-021,53.70078740157481,status,ECO
BHI-023,100,status,ECO
BHI-024,90.10636047160193,status,ECO
BHI-025,77.67857142857143,status,ECO
BHI-026,100,status,ECO
BHI-027,90.10636047160193,status,ECO
BHI-028,77.67857142857143,status,ECO
BHI-029,100,status,ECO
BHI-030,76.23198122695273,status,ECO
BHI-031,77.67857142857143,status,ECO
BHI-032,76.23198122695273,status,ECO
BHI-034,77.67857142857143,status,ECO
BHI-035,100,status,ECO
BHI-036,76.23198122695273,status,ECO
BHI-037,100,status,ECO
BHI-038,76.23198122695273,status,ECO
BHI-039,100,status,ECO
BHI-040,76.23198122695273,status,ECO
BHI-041,100,status,ECO
BHI-042,76.23198122695273,status,ECO
BHI-043,76.23198122695273,status,ECO
BHI-001,5.03,trend,ECO
BHI-002,-47.88,trend,ECO
BHI-003,-47.88,trend,ECO
BHI-005,5.03,trend,ECO
BHI-006,-47.88,trend,ECO
BHI-007,-47.88,trend,ECO
BHI-008,-2.97,trend,ECO
BHI-009,-47.88,trend,ECO
BHI-010,-2.97,trend,ECO
BHI-011,5.03,trend,ECO
BHI-012,-47.88,trend,ECO
BHI-013,-2.97,trend,ECO
BHI-014,5.03,trend,ECO
BHI-015,-47.88,trend,ECO
BHI-016,-2.97,trend,ECO
BHI-017,28.66,trend,ECO
BHI-018,28.66,trend,ECO
BHI-020,5.03,trend,ECO
BHI-021,28.66,trend,ECO
BHI-023,24.74,trend,ECO
BHI-024,55.29,trend,ECO
BHI-025,39.93,trend,ECO
BHI-026,5.03,trend,ECO
BHI-027,55.29,trend,ECO
BHI-028,39.93,trend,ECO
BHI-029,5.03,trend,ECO
BHI-030,-11.35,trend,ECO
BHI-031,39.93,trend,ECO
BHI-032,-11.35,trend,ECO
BHI-034,39.93,trend,ECO
BHI-035,5.03,trend,ECO
BHI-036,-11.35,trend,ECO
BHI-037,5.03,trend,ECO
BHI-038,-11.35,trend,ECO
BHI-039,5.03,trend,ECO
BHI-040,-11.35,trend,ECO
BHI-041,5.03,trend,ECO
BHI-042,-11.35,trend,ECO
BHI-043,-11.35,trend,ECO
