region_id,goal,dimension,score
BHI-001,EUT,status,96.95
BHI-002,EUT,status,96.95
BHI-001,EUT,trend,-0
BHI-002,EUT,trend,-0
BHI-003,EUT,status,91.51
BHI-003,EUT,trend,0.11
BHI-005,EUT,status,72.67
BHI-006,EUT,status,72.67
BHI-005,EUT,trend,-0.21
BHI-006,EUT,trend,-0.21
BHI-007,EUT,status,97.14
BHI-008,EUT,status,97.14
BHI-007,EUT,trend,0.27
BHI-008,EUT,trend,0.27
BHI-009,EUT,status,83.87
BHI-010,EUT,status,83.87
BHI-009,EUT,trend,0.2
BHI-010,EUT,trend,0.2
BHI-011,EUT,status,80.39
BHI-012,EUT,status,80.39
BHI-013,EUT,status,80.39
BHI-011,EUT,trend,0.06
BHI-012,EUT,trend,0.06
BHI-013,EUT,trend,0.06
BHI-014,EUT,status,74.18
BHI-015,EUT,status,74.18
BHI-016,EUT,status,74.18
BHI-017,EUT,status,74.18
BHI-014,EUT,trend,0.1
BHI-015,EUT,trend,0.1
BHI-016,EUT,trend,0.1
BHI-017,EUT,trend,0.1
BHI-018,EUT,status,72.36
BHI-019,EUT,status,72.36
BHI-018,EUT,trend,0.1
BHI-019,EUT,trend,0.1
BHI-020,EUT,status,67.95
BHI-021,EUT,status,67.95
BHI-022,EUT,status,67.95
BHI-023,EUT,status,67.95
BHI-024,EUT,status,67.95
BHI-025,EUT,status,67.95
BHI-020,EUT,trend,-0.09
BHI-021,EUT,trend,-0.09
BHI-022,EUT,trend,-0.09
BHI-023,EUT,trend,-0.09
BHI-024,EUT,trend,-0.09
BHI-025,EUT,trend,-0.09
BHI-026,EUT,status,55.85
BHI-026,EUT,trend,-0.11
BHI-027,EUT,status,54.25
BHI-028,EUT,status,54.25
BHI-027,EUT,trend,-0.33
BHI-028,EUT,trend,-0.33
BHI-029,EUT,status,57.95
BHI-030,EUT,status,57.95
BHI-031,EUT,status,57.95
BHI-029,EUT,trend,-0.04
BHI-030,EUT,trend,-0.04
BHI-031,EUT,trend,-0.04
BHI-032,EUT,status,68.1
BHI-033,EUT,status,68.1
BHI-034,EUT,status,68.1
BHI-032,EUT,trend,0.2
BHI-033,EUT,trend,0.2
BHI-034,EUT,trend,0.2
BHI-035,EUT,status,48.79
BHI-036,EUT,status,48.79
BHI-035,EUT,trend,-0.09
BHI-036,EUT,trend,-0.09
BHI-037,EUT,status,68
BHI-038,EUT,status,68
BHI-037,EUT,trend,0.03
BHI-038,EUT,trend,0.03
BHI-039,EUT,status,66.08
BHI-040,EUT,status,66.08
BHI-039,EUT,trend,-0.15
BHI-040,EUT,trend,-0.15
BHI-041,EUT,status,84.98
BHI-042,EUT,status,84.98
BHI-041,EUT,trend,0.07
BHI-042,EUT,trend,0.07
BHI-043,EUT,status,53.07
BHI-043,EUT,trend,-0.45
