region_id,goal,dimension,score
BHI-001,ICO,status,81
BHI-002,ICO,status,81
BHI-003,ICO,status,85
BHI-004,ICO,status,85
BHI-005,ICO,status,88
BHI-006,ICO,status,88
BHI-007,ICO,status,79
BHI-008,ICO,status,79
BHI-009,ICO,status,89
BHI-010,ICO,status,89
BHI-011,ICO,status,87
BHI-012,ICO,status,87
BHI-013,ICO,status,87
BHI-014,ICO,status,82
BHI-015,ICO,status,82
BHI-016,ICO,status,82
BHI-017,ICO,status,82
BHI-018,ICO,status,78
BHI-019,ICO,status,78
BHI-020,ICO,status,82
BHI-021,ICO,status,82
BHI-022,ICO,status,82
BHI-023,ICO,status,82
BHI-024,ICO,status,82
BHI-025,ICO,status,82
BHI-026,ICO,status,78
BHI-027,ICO,status,80
BHI-028,ICO,status,80
BHI-029,ICO,status,81
BHI-030,ICO,status,81
BHI-031,ICO,status,81
BHI-032,ICO,status,82
BHI-033,ICO,status,82
BHI-034,ICO,status,82
BHI-035,ICO,status,78
BHI-036,ICO,status,78
BHI-037,ICO,status,85
BHI-038,ICO,status,85
BHI-039,ICO,status,82
BHI-040,ICO,status,82
BHI-041,ICO,status,83
BHI-042,ICO,status,83
BHI-001,ICO,trend,NA
BHI-002,ICO,trend,NA
BHI-003,ICO,trend,NA
BHI-005,ICO,trend,NA
BHI-006,ICO,trend,NA
BHI-007,ICO,trend,NA
BHI-008,ICO,trend,NA
BHI-009,ICO,trend,NA
BHI-010,ICO,trend,NA
BHI-011,ICO,trend,NA
BHI-012,ICO,trend,NA
BHI-013,ICO,trend,NA
BHI-014,ICO,trend,NA
BHI-015,ICO,trend,NA
BHI-016,ICO,trend,NA
BHI-017,ICO,trend,NA
BHI-018,ICO,trend,NA
BHI-019,ICO,trend,NA
BHI-020,ICO,trend,NA
BHI-021,ICO,trend,NA
BHI-022,ICO,trend,NA
BHI-023,ICO,trend,NA
BHI-024,ICO,trend,NA
BHI-025,ICO,trend,NA
BHI-026,ICO,trend,NA
BHI-027,ICO,trend,NA
BHI-028,ICO,trend,NA
BHI-029,ICO,trend,NA
BHI-030,ICO,trend,NA
BHI-031,ICO,trend,NA
BHI-032,ICO,trend,NA
BHI-033,ICO,trend,NA
BHI-034,ICO,trend,NA
BHI-035,ICO,trend,NA
BHI-036,ICO,trend,NA
BHI-037,ICO,trend,NA
BHI-038,ICO,trend,NA
BHI-039,ICO,trend,NA
BHI-040,ICO,trend,NA
BHI-041,ICO,trend,NA
BHI-042,ICO,trend,NA
BHI-043,ICO,trend,NA
