region_id,score,dimension,goal
BHI-001,97.68608634895072,status,LIV
BHI-002,96.32834849911244,status,LIV
BHI-003,95.51568566563175,status,LIV
BHI-005,95.91358849850499,status,LIV
BHI-006,97.06375945132267,status,LIV
BHI-007,95.33127031921886,status,LIV
BHI-008,98.95904016107667,status,LIV
BHI-009,95.33127031921886,status,LIV
BHI-010,98.92864079542032,status,LIV
BHI-011,95.91358849850499,status,LIV
BHI-012,96.24795204370649,status,LIV
BHI-013,98.87798249990006,status,LIV
BHI-014,95.91974194461702,status,LIV
BHI-015,97.06375945132268,status,LIV
BHI-016,98.87798249990006,status,LIV
BHI-017,86.95297109558686,status,LIV
BHI-018,89.41302487997609,status,LIV
BHI-019,NA,status,LIV
BHI-020,98.06705517138045,status,LIV
BHI-021,91.19978845702141,status,LIV
BHI-022,NA,status,LIV
BHI-023,90.20962168488519,status,LIV
BHI-024,92.70879162057658,status,LIV
BHI-025,95.56121830884967,status,LIV
BHI-026,98.11821053713085,status,LIV
BHI-027,92.70879162057656,status,LIV
BHI-028,95.56121830884967,status,LIV
BHI-029,98.52594945366879,status,LIV
BHI-030,NA,status,LIV
BHI-031,95.56121830884967,status,LIV
BHI-032,95.8495006553326,status,LIV
BHI-033,NA,status,LIV
BHI-034,95.56121830884969,status,LIV
BHI-035,98.35879097523423,status,LIV
BHI-036,99.0788554593201,status,LIV
BHI-037,97.0104572432956,status,LIV
BHI-038,94.22921716829995,status,LIV
BHI-039,98.06705517138045,status,LIV
BHI-040,94.31736116121829,status,LIV
BHI-041,98.06705517138045,status,LIV
BHI-042,92.04422396780981,status,LIV
BHI-043,94.52583176301465,status,LIV
BHI-001,-0.01,trend,LIV
BHI-002,0.025,trend,LIV
BHI-003,0.041,trend,LIV
BHI-005,-0.025,trend,LIV
BHI-006,0.018,trend,LIV
BHI-007,0.039,trend,LIV
BHI-008,0.03,trend,LIV
BHI-009,0.039,trend,LIV
BHI-010,0.033,trend,LIV
BHI-011,-0.025,trend,LIV
BHI-012,0.028,trend,LIV
BHI-013,0.039,trend,LIV
BHI-014,-0.025,trend,LIV
BHI-015,0.018,trend,LIV
BHI-016,0.039,trend,LIV
BHI-017,0.162,trend,LIV
BHI-018,0.097,trend,LIV
BHI-019,NA,trend,LIV
BHI-020,-0.008,trend,LIV
BHI-021,0.073,trend,LIV
BHI-022,NA,trend,LIV
BHI-023,0.077,trend,LIV
BHI-024,0.054,trend,LIV
BHI-025,0.027,trend,LIV
BHI-026,-0.008,trend,LIV
BHI-027,0.054,trend,LIV
BHI-028,0.027,trend,LIV
BHI-029,-0.006,trend,LIV
BHI-030,NA,trend,LIV
BHI-031,0.027,trend,LIV
BHI-032,0.032,trend,LIV
BHI-033,NA,trend,LIV
BHI-034,0.027,trend,LIV
BHI-035,-0.006,trend,LIV
BHI-036,-0.011,trend,LIV
BHI-037,-0.014,trend,LIV
BHI-038,0.093,trend,LIV
BHI-039,-0.009,trend,LIV
BHI-040,0.09,trend,LIV
BHI-041,-0.009,trend,LIV
BHI-042,0.112,trend,LIV
BHI-043,0.077,trend,LIV
