region_id,score,dimension,goal
BHI-001,95.4,status,NP
BHI-002,95.4,status,NP
BHI-003,95.4,status,NP
BHI-005,95.4,status,NP
BHI-006,95.4,status,NP
BHI-007,95.4,status,NP
BHI-008,95.4,status,NP
BHI-009,95.4,status,NP
BHI-010,95.4,status,NP
BHI-011,95.4,status,NP
BHI-012,95.4,status,NP
BHI-013,95.4,status,NP
BHI-014,95.4,status,NP
BHI-015,95.4,status,NP
BHI-016,95.4,status,NP
BHI-017,95.4,status,NP
BHI-018,95.4,status,NP
BHI-019,95.4,status,NP
BHI-020,95.4,status,NP
BHI-021,95.4,status,NP
BHI-022,95.4,status,NP
BHI-023,95.4,status,NP
BHI-024,95.4,status,NP
BHI-025,95.4,status,NP
BHI-026,95.4,status,NP
BHI-027,95.4,status,NP
BHI-028,95.4,status,NP
BHI-029,95.4,status,NP
BHI-030,95.4,status,NP
BHI-031,95.4,status,NP
BHI-032,95.4,status,NP
BHI-033,95.4,status,NP
BHI-034,95.4,status,NP
BHI-035,95.4,status,NP
BHI-036,95.4,status,NP
BHI-037,95.4,status,NP
BHI-038,95.4,status,NP
BHI-039,95.4,status,NP
BHI-040,95.4,status,NP
BHI-041,95.4,status,NP
BHI-042,95.4,status,NP
BHI-043,95.4,status,NP
BHI-001,0.08,trend,NP
BHI-002,0.08,trend,NP
BHI-003,0.08,trend,NP
BHI-005,0.08,trend,NP
BHI-006,0.08,trend,NP
BHI-007,0.08,trend,NP
BHI-008,0.08,trend,NP
BHI-009,0.08,trend,NP
BHI-010,0.08,trend,NP
BHI-011,0.08,trend,NP
BHI-012,0.08,trend,NP
BHI-013,0.08,trend,NP
BHI-014,0.08,trend,NP
BHI-015,0.08,trend,NP
BHI-016,0.08,trend,NP
BHI-017,0.08,trend,NP
BHI-018,0.08,trend,NP
BHI-019,0.08,trend,NP
BHI-020,0.08,trend,NP
BHI-021,0.08,trend,NP
BHI-022,0.08,trend,NP
BHI-023,0.08,trend,NP
BHI-024,0.08,trend,NP
BHI-025,0.08,trend,NP
BHI-026,0.08,trend,NP
BHI-027,0.08,trend,NP
BHI-028,0.08,trend,NP
BHI-029,0.08,trend,NP
BHI-030,0.08,trend,NP
BHI-031,0.08,trend,NP
BHI-032,0.08,trend,NP
BHI-033,0.08,trend,NP
BHI-034,0.08,trend,NP
BHI-035,0.08,trend,NP
BHI-036,0.08,trend,NP
BHI-037,0.08,trend,NP
BHI-038,0.08,trend,NP
BHI-039,0.08,trend,NP
BHI-040,0.08,trend,NP
BHI-041,0.08,trend,NP
BHI-042,0.08,trend,NP
BHI-043,0.08,trend,NP
