"region_id","dimension","goal","score","year"
"BHI-000","future","AO",85.6,2018
"BHI-001","future","AO",NA,2018
"BHI-002","future","AO",55.4,2018
"BHI-003","future","AO",58,2018
"BHI-005","future","AO",NA,2018
"BHI-006","future","AO",80.8,2018
"BHI-007","future","AO",NA,2018
"BHI-008","future","AO",NA,2018
"BHI-009","future","AO",75.9,2018
"BHI-010","future","AO",NA,2018
"BHI-011","future","AO",NA,2018
"BHI-012","future","AO",47.5,2018
"BHI-013","future","AO",NA,2018
"BHI-014","future","AO",100,2018
"BHI-015","future","AO",NA,2018
"BHI-016","future","AO",NA,2018
"BHI-017","future","AO",NA,2018
"BHI-018","future","AO",NA,2018
"BHI-019","future","AO",NA,2018
"BHI-020","future","AO",NA,2018
"BHI-021","future","AO",NA,2018
"BHI-022","future","AO",NA,2018
"BHI-023","future","AO",100,2018
"BHI-024","future","AO",83.6,2018
"BHI-025","future","AO",NA,2018
"BHI-026","future","AO",89.4,2018
"BHI-027","future","AO",99.7,2018
"BHI-028","future","AO",70.1,2018
"BHI-029","future","AO",95.1,2018
"BHI-030","future","AO",NA,2018
"BHI-031","future","AO",NA,2018
"BHI-032","future","AO",48.1,2018
"BHI-033","future","AO",NA,2018
"BHI-034","future","AO",NA,2018
"BHI-035","future","AO",81.6,2018
"BHI-036","future","AO",NA,2018
"BHI-037","future","AO",93.4,2018
"BHI-038","future","AO",100,2018
"BHI-039","future","AO",54.5,2018
"BHI-040","future","AO",94.3,2018
"BHI-041","future","AO",100,2018
"BHI-042","future","AO",100,2018
"BHI-043","future","AO",64.7,2018
"BHI-301","future","AO",93.2,2018
"BHI-302","future","AO",55.8,2018
"BHI-303","future","AO",NA,2018
"BHI-304","future","AO",NA,2018
"BHI-305","future","AO",NA,2018
"BHI-306","future","AO",100,2018
"BHI-307","future","AO",88,2018
"BHI-308","future","AO",70.1,2018
"BHI-309","future","AO",88.2,2018
"BHI-501","future","AO",55.4,2018
"BHI-502","future","AO",58,2018
"BHI-503","future","AO",80.8,2018
"BHI-504","future","AO",NA,2018
"BHI-505","future","AO",75.9,2018
"BHI-506","future","AO",47.5,2018
"BHI-507","future","AO",100,2018
"BHI-508","future","AO",NA,2018
"BHI-509","future","AO",87.3,2018
"BHI-510","future","AO",89.4,2018
"BHI-511","future","AO",82.9,2018
"BHI-512","future","AO",95.1,2018
"BHI-513","future","AO",48.1,2018
"BHI-514","future","AO",81.6,2018
"BHI-515","future","AO",96.5,2018
"BHI-516","future","AO",78.6,2018
"BHI-517","future","AO",100,2018
"BHI-518","future","AO",64.7,2018
"BHI-000","pressures","AO",32.8,2018
"BHI-001","pressures","AO",25.7,2018
"BHI-002","pressures","AO",25.7,2018
"BHI-003","pressures","AO",19.3,2018
"BHI-005","pressures","AO",8.7,2018
"BHI-006","pressures","AO",8.7,2018
"BHI-007","pressures","AO",11.7,2018
"BHI-008","pressures","AO",11.7,2018
"BHI-009","pressures","AO",17.7,2018
"BHI-010","pressures","AO",17.7,2018
"BHI-011","pressures","AO",33.7,2018
"BHI-012","pressures","AO",33.7,2018
"BHI-013","pressures","AO",33.7,2018
"BHI-014","pressures","AO",31.3,2018
"BHI-015","pressures","AO",31.3,2018
"BHI-016","pressures","AO",31.3,2018
"BHI-017","pressures","AO",31.3,2018
"BHI-018","pressures","AO",62,2018
"BHI-019","pressures","AO",62,2018
"BHI-020","pressures","AO",32,2018
"BHI-021","pressures","AO",32,2018
"BHI-022","pressures","AO",32,2018
"BHI-023","pressures","AO",32,2018
"BHI-024","pressures","AO",32,2018
"BHI-025","pressures","AO",32,2018
"BHI-026","pressures","AO",24.3,2018
"BHI-027","pressures","AO",36,2018
"BHI-028","pressures","AO",36,2018
"BHI-029","pressures","AO",27.7,2018
"BHI-030","pressures","AO",27.7,2018
"BHI-031","pressures","AO",27.7,2018
"BHI-032","pressures","AO",41,2018
"BHI-033","pressures","AO",41,2018
"BHI-034","pressures","AO",41,2018
"BHI-035","pressures","AO",23.7,2018
"BHI-036","pressures","AO",23.7,2018
"BHI-037","pressures","AO",26,2018
"BHI-038","pressures","AO",26,2018
"BHI-039","pressures","AO",64.3,2018
"BHI-040","pressures","AO",64.3,2018
"BHI-041","pressures","AO",53.7,2018
"BHI-042","pressures","AO",53.7,2018
"BHI-043","pressures","AO",47.3,2018
"BHI-301","pressures","AO",31.4,2018
"BHI-302","pressures","AO",25.4,2018
"BHI-303","pressures","AO",26.6,2018
"BHI-304","pressures","AO",35,2018
"BHI-305","pressures","AO",39.2,2018
"BHI-306","pressures","AO",32,2018
"BHI-307","pressures","AO",33.1,2018
"BHI-308","pressures","AO",33.8,2018
"BHI-309","pressures","AO",37.1,2018
"BHI-501","pressures","AO",25.7,2018
"BHI-502","pressures","AO",19.3,2018
"BHI-503","pressures","AO",8.7,2018
"BHI-504","pressures","AO",11.7,2018
"BHI-505","pressures","AO",17.7,2018
"BHI-506","pressures","AO",33.7,2018
"BHI-507","pressures","AO",31.3,2018
"BHI-508","pressures","AO",62,2018
"BHI-509","pressures","AO",32,2018
"BHI-510","pressures","AO",24.3,2018
"BHI-511","pressures","AO",36,2018
"BHI-512","pressures","AO",27.7,2018
"BHI-513","pressures","AO",41,2018
"BHI-514","pressures","AO",23.7,2018
"BHI-515","pressures","AO",26,2018
"BHI-516","pressures","AO",64.3,2018
"BHI-517","pressures","AO",53.7,2018
"BHI-518","pressures","AO",47.3,2018
"BHI-000","resilience","AO",80.1,2018
"BHI-001","resilience","AO",80.7,2018
"BHI-002","resilience","AO",78,2018
"BHI-003","resilience","AO",78,2018
"BHI-005","resilience","AO",80.7,2018
"BHI-006","resilience","AO",78,2018
"BHI-007","resilience","AO",78,2018
"BHI-008","resilience","AO",81.1,2018
"BHI-009","resilience","AO",78,2018
"BHI-010","resilience","AO",81.1,2018
"BHI-011","resilience","AO",80.7,2018
"BHI-012","resilience","AO",78,2018
"BHI-013","resilience","AO",81.1,2018
"BHI-014","resilience","AO",80.7,2018
"BHI-015","resilience","AO",78,2018
"BHI-016","resilience","AO",81.1,2018
"BHI-017","resilience","AO",76.9,2018
"BHI-018","resilience","AO",76.9,2018
"BHI-019","resilience","AO",NA,2018
"BHI-020","resilience","AO",80.7,2018
"BHI-021","resilience","AO",76.9,2018
"BHI-022","resilience","AO",NA,2018
"BHI-023","resilience","AO",81.6,2018
"BHI-024","resilience","AO",79.8,2018
"BHI-025","resilience","AO",78.5,2018
"BHI-026","resilience","AO",80.7,2018
"BHI-027","resilience","AO",79.8,2018
"BHI-028","resilience","AO",78.5,2018
"BHI-029","resilience","AO",80.7,2018
"BHI-030","resilience","AO",82,2018
"BHI-031","resilience","AO",78.5,2018
"BHI-032","resilience","AO",82,2018
"BHI-033","resilience","AO",NA,2018
"BHI-034","resilience","AO",78.5,2018
"BHI-035","resilience","AO",80.7,2018
"BHI-036","resilience","AO",82,2018
"BHI-037","resilience","AO",80.7,2018
"BHI-038","resilience","AO",82,2018
"BHI-039","resilience","AO",80.7,2018
"BHI-040","resilience","AO",82,2018
"BHI-041","resilience","AO",80.7,2018
"BHI-042","resilience","AO",82,2018
