"","region_id","dimension","goal","score"
"1","BHI-000","future","AO",85.7
"2","BHI-001","future","AO",NA
"3","BHI-002","future","AO",55
"4","BHI-003","future","AO",57.6
"5","BHI-005","future","AO",NA
"6","BHI-006","future","AO",81.1
"7","BHI-007","future","AO",NA
"8","BHI-008","future","AO",NA
"9","BHI-009","future","AO",75.7
"10","BHI-010","future","AO",NA
"11","BHI-011","future","AO",NA
"12","BHI-012","future","AO",47.6
"13","BHI-013","future","AO",NA
"14","BHI-014","future","AO",100
"15","BHI-015","future","AO",NA
"16","BHI-016","future","AO",NA
"17","BHI-017","future","AO",NA
"18","BHI-018","future","AO",NA
"19","BHI-019","future","AO",NA
"20","BHI-020","future","AO",NA
"21","BHI-021","future","AO",NA
"22","BHI-022","future","AO",NA
"23","BHI-023","future","AO",100
"24","BHI-024","future","AO",84.3
"25","BHI-025","future","AO",NA
"26","BHI-026","future","AO",90.3
"27","BHI-027","future","AO",100
"28","BHI-028","future","AO",70.9
"29","BHI-029","future","AO",95.7
"30","BHI-030","future","AO",NA
"31","BHI-031","future","AO",NA
"32","BHI-032","future","AO",47.6
"33","BHI-033","future","AO",NA
"34","BHI-034","future","AO",NA
"35","BHI-035","future","AO",81.2
"36","BHI-036","future","AO",NA
"37","BHI-037","future","AO",92.6
"38","BHI-038","future","AO",100
"39","BHI-039","future","AO",54.3
"40","BHI-040","future","AO",94
"41","BHI-041","future","AO",100
"42","BHI-042","future","AO",100
"43","BHI-043","future","AO",63.5
"44","BHI-301","future","AO",93.3
"45","BHI-302","future","AO",55.5
"46","BHI-303","future","AO",NA
"47","BHI-304","future","AO",NA
"48","BHI-305","future","AO",NA
"49","BHI-306","future","AO",100
"50","BHI-307","future","AO",88.5
"51","BHI-308","future","AO",70.9
"52","BHI-309","future","AO",87.9
"53","BHI-501","future","AO",55
"54","BHI-502","future","AO",57.6
"55","BHI-503","future","AO",81.1
"56","BHI-504","future","AO",NA
"57","BHI-505","future","AO",75.7
"58","BHI-506","future","AO",47.6
"59","BHI-507","future","AO",100
"60","BHI-508","future","AO",NA
"61","BHI-509","future","AO",87.8
"62","BHI-510","future","AO",90.3
"63","BHI-511","future","AO",83.5
"64","BHI-512","future","AO",95.7
"65","BHI-513","future","AO",47.6
"66","BHI-514","future","AO",81.2
"67","BHI-515","future","AO",96.1
"68","BHI-516","future","AO",78.4
"69","BHI-517","future","AO",100
"70","BHI-000","pressures","AO",33.6
"71","BHI-001","pressures","AO",28.3
"72","BHI-002","pressures","AO",28.3
"73","BHI-003","pressures","AO",21.7
"74","BHI-005","pressures","AO",7.3
"75","BHI-006","pressures","AO",7.3
"76","BHI-007","pressures","AO",12.3
"77","BHI-008","pressures","AO",12.3
"78","BHI-009","pressures","AO",19
"79","BHI-010","pressures","AO",19
"80","BHI-011","pressures","AO",33
"81","BHI-012","pressures","AO",33
"82","BHI-013","pressures","AO",33
"83","BHI-014","pressures","AO",34.3
"84","BHI-015","pressures","AO",34.3
"85","BHI-016","pressures","AO",34.3
"86","BHI-017","pressures","AO",34.3
"87","BHI-018","pressures","AO",62.7
"88","BHI-019","pressures","AO",62.7
"89","BHI-020","pressures","AO",29.7
"90","BHI-021","pressures","AO",29.7
"91","BHI-022","pressures","AO",29.7
"92","BHI-023","pressures","AO",29.7
"93","BHI-024","pressures","AO",29.7
"94","BHI-025","pressures","AO",29.7
"95","BHI-026","pressures","AO",20.7
"96","BHI-027","pressures","AO",32
"97","BHI-028","pressures","AO",32
"98","BHI-029","pressures","AO",25.7
"99","BHI-030","pressures","AO",25.7
"100","BHI-031","pressures","AO",25.7
"101","BHI-032","pressures","AO",45
"102","BHI-033","pressures","AO",45
"103","BHI-034","pressures","AO",45
"104","BHI-035","pressures","AO",25.7
"105","BHI-036","pressures","AO",25.7
"106","BHI-037","pressures","AO",29
"107","BHI-038","pressures","AO",29
"108","BHI-039","pressures","AO",65.3
"109","BHI-040","pressures","AO",65.3
"110","BHI-041","pressures","AO",59.7
"111","BHI-042","pressures","AO",59.7
"112","BHI-043","pressures","AO",52
"113","BHI-301","pressures","AO",31.9
"114","BHI-302","pressures","AO",27.5
"115","BHI-303","pressures","AO",27.2
"116","BHI-304","pressures","AO",35.9
"117","BHI-305","pressures","AO",40.3
"118","BHI-306","pressures","AO",29.7
"119","BHI-307","pressures","AO",30.3
"120","BHI-308","pressures","AO",32.5
"121","BHI-309","pressures","AO",40.1
"122","BHI-501","pressures","AO",28.3
"123","BHI-502","pressures","AO",21.7
"124","BHI-503","pressures","AO",7.3
"125","BHI-504","pressures","AO",12.3
"126","BHI-505","pressures","AO",19
"127","BHI-506","pressures","AO",33
"128","BHI-507","pressures","AO",34.3
"129","BHI-508","pressures","AO",62.7
"130","BHI-509","pressures","AO",29.7
"131","BHI-510","pressures","AO",20.7
"132","BHI-511","pressures","AO",32
"133","BHI-512","pressures","AO",25.7
"134","BHI-513","pressures","AO",45
"135","BHI-514","pressures","AO",25.7
"136","BHI-515","pressures","AO",29
"137","BHI-516","pressures","AO",65.3
"138","BHI-517","pressures","AO",59.7
"139","BHI-000","resilience","AO",80.1
"140","BHI-001","resilience","AO",80.7
"141","BHI-002","resilience","AO",78
"142","BHI-003","resilience","AO",78
"143","BHI-005","resilience","AO",80.7
"144","BHI-006","resilience","AO",78
"145","BHI-007","resilience","AO",78
"146","BHI-008","resilience","AO",81.1
"147","BHI-009","resilience","AO",78
"148","BHI-010","resilience","AO",81.1
"149","BHI-011","resilience","AO",80.7
"150","BHI-012","resilience","AO",78
"151","BHI-013","resilience","AO",81.1
"152","BHI-014","resilience","AO",80.7
"153","BHI-015","resilience","AO",78
"154","BHI-016","resilience","AO",81.1
"155","BHI-017","resilience","AO",76.9
"156","BHI-018","resilience","AO",76.9
"157","BHI-019","resilience","AO",NA
"158","BHI-020","resilience","AO",80.7
"159","BHI-021","resilience","AO",76.9
"160","BHI-022","resilience","AO",NA
"161","BHI-023","resilience","AO",81.6
"162","BHI-024","resilience","AO",79.8
"163","BHI-025","resilience","AO",78.5
"164","BHI-026","resilience","AO",80.7
"165","BHI-027","resilience","AO",79.8
"166","BHI-028","resilience","AO",78.5
"167","BHI-029","resilience","AO",80.7
"168","BHI-030","resilience","AO",82
"169","BHI-031","resilience","AO",78.5
"170","BHI-032","resilience","AO",82
"171","BHI-033","resilience","AO",NA
"172","BHI-034","resilience","AO",78.5
"173","BHI-035","resilience","AO",80.7
"174","BHI-036","resilience","AO",82
"175","BHI-037","resilience","AO",80.7
"176","BHI-038","resilience","AO",82
"177","BHI-039","resilience","AO",80.7
"178","BHI-040","resilience","AO",82
"179","BHI-041","resilience","AO",80.7
"180","BHI-042","resilience","AO",82
"181","BHI-043","resilience","AO",NA
"182","BHI-301","resilience","AO",80.7
"183","BHI-302","resilience","AO",78
"184","BHI-303","resilience","AO",81.1
"185","BHI-304","resilience","AO",76.9
"186","BHI-305","resilience","AO",NA
"187","BHI-306","resilience","AO",81.6
"188","BHI-307","resilience","AO",79.8
"189","BHI-308","resilience","AO",78.5
"190","BHI-309","resilience","AO",82
"191","BHI-501","resilience","AO",78.8
"192","BHI-502","resilience","AO",78
